Date,Price,Open,High,Low,Vol.,Change %,return
1-Jan-17,283,283.5,285,281.5,81.41K,-0.39%,
2-Jan-17,283.8,282,286,282,207.80K,0.28%,0.002826855
3-Jan-17,285.8,284,287,283.5,510.52K,0.70%,0.007047216
4-Jan-17,288.6,286.1,289.9,286.1,431.20K,0.98%,0.009797061
5-Jan-17,287.6,290,291.7,286.5,263.37K,-0.35%,-0.003465003
8-Jan-17,292,288,293.7,286.9,300.58K,1.53%,0.015299026
9-Jan-17,290.8,290,291.5,289.5,128.63K,-0.41%,-0.004109589
10-Jan-17,289.3,290.1,290.5,287.5,313.30K,-0.52%,-0.005158184
11-Jan-17,290.5,288,290.5,288,113.63K,0.41%,0.004147943
12-Jan-17,292.5,290.7,292.8,288.5,665.21K,0.69%,0.006884682
15-Jan-17,289.9,291,292,288,181.69K,-0.89%,-0.008888889
16-Jan-17,294.3,290,295,289.9,473.95K,1.52%,0.015177647
17-Jan-17,295,292.1,295.4,292,225.95K,0.24%,0.002378525
18-Jan-17,297.8,294,299.7,292,594.22K,0.95%,0.009491525
19-Jan-17,297.2,297,297.9,295.5,388.51K,-0.20%,-0.002014775
22-Jan-17,297.1,298,298.7,296.7,187.82K,-0.03%,-0.000336474
23-Jan-17,298.7,297.4,299.7,297,505.51K,0.54%,0.005385392
24-Jan-17,306.6,298.5,308,298.5,827.67K,2.64%,0.026447941
25-Jan-17,302.7,306.3,307,300,666.49K,-1.27%,-0.012720157
26-Jan-17,305,302,305.9,300,359.17K,0.76%,0.007598282
29-Jan-17,304.1,305.5,309,302.1,197.61K,-0.30%,-0.00295082
30-Jan-17,302.6,303,304.5,301.2,198.72K,-0.49%,-0.004932588
31-Jan-17,301.6,301,302.3,300,139.61K,-0.33%,-0.003304693
1-Feb-17,306.5,301,307.9,301,311.35K,1.62%,0.016246684
2-Feb-17,304.3,306.5,310.9,304,236.78K,-0.72%,-0.007177814
5-Feb-17,304.5,306.5,306.8,302.5,233.98K,0.07%,0.000657246
6-Feb-17,305.5,304,306,304,124.32K,0.33%,0.003284072
7-Feb-17,305.1,303.8,305.7,303.7,131.14K,-0.13%,-0.001309329
8-Feb-17,308.7,304.6,309.9,304.5,205.30K,1.18%,0.01179941
9-Feb-17,309.1,308,309.9,307.2,124.89K,0.13%,0.001295756
12-Feb-17,309.8,307.1,310,307.1,146.57K,0.23%,0.002264639
