Date,Price,Open,High,Low,Vol.,Change %,moving average,EMA,EMA(12),EMA(26),MACD,K,D,R,trend,score,return
1-Jan-18,472,471,473.4,468.8,52.60K,0.25%,472,472,472,472,0,0,0,0,1,0.5,0.002548853
2-Jan-18,479.6,472.2,480.4,472,172.10K,1.61%,476.3,472.95,472.95,472.95,0,93.10344828,46.55172414,-93.10344828,1,1,0.016101695
3-Jan-18,486,481,487.2,480.6,368.25K,1.33%,479.5333333,474.58125,474.58125,474.58125,0,93.47826087,62.19390305,-93.47826087,0,0,0.013344454
4-Jan-18,478.2,487.6,487.6,477.8,310.83K,-1.60%,479.2,475.0335938,475.0335938,475.0335938,0,50,78.86056972,-50,1,0.5,-0.016049383
7-Jan-18,478.3,477.2,479.5,477,152.94K,0.02%,479.02,475.4418945,475.4418945,475.4418945,0,50.53191489,64.67005859,-50.53191489,0,0.5,0.000209118
8-Jan-18,472.6,478.4,478.4,470.1,269.06K,-1.19%,477.95,475.0866577,475.0866577,475.0866577,0,20.21276596,40.24822695,-20.21276596,0,0.5,-0.011917207
9-Jan-18,470.9,472.6,472.6,469.5,175.76K,-0.36%,476.9428571,474.5633255,474.5633255,474.5633255,0,11.17021277,27.30496454,-11.17021277,1,0.5,-0.003597122
10-Jan-18,471.4,472,473.1,469,126.92K,0.11%,476.25,474.1679098,474.1679098,474.1679098,0,13.82978723,15.07092199,-13.82978723,1,0.5,0.001061797
11-Jan-18,476,472.2,477.5,472,98.36K,0.98%,476.2222222,474.3969211,474.3969211,474.3969211,0,38.29787234,21.09929078,-38.29787234,0,0.5,0.009758167
14-Jan-18,476,477,477,473,68.81K,0.00%,476.2,474.597306,474.597306,474.597306,0,38.29787234,30.14184397,-38.29787234,0,0.5,0
15-Jan-18,473.6,477,482,473,826.08K,-0.50%,475.9636364,474.4726427,474.4726427,474.4726427,0,25.53191489,34.04255319,-25.53191489,1,0.5,-0.005042017
16-Jan-18,479.8,475,480.6,473,152.36K,1.31%,476.2833333,475.1385624,472,475.1385624,-3.138562368,58.5106383,40.78014184,-58.5106383,1,0.5,0.013091216
