Date,Price,Open,High,Low,Vol.,Change %,return
1-Jan-17,201.66,202.72,202.72,201.5,365.20K,-0.36%,
2-Jan-17,202.64,201.91,203.13,201.58,518.37K,0.49%,0.004859665
3-Jan-17,203.86,203.13,204.34,202.15,672.32K,0.60%,0.006020529
4-Jan-17,206.13,203.86,206.62,203.13,632.62K,1.11%,0.011135093
5-Jan-17,205.56,205.56,206.38,204.83,484.84K,-0.28%,-0.002765245
8-Jan-17,205.56,205.89,206.7,204.83,542.38K,0.00%,0
9-Jan-17,206.21,205.73,207.19,205.56,733.61K,0.32%,0.003162094
10-Jan-17,210.44,207.19,211.25,206.38,875.56K,2.05%,0.020513069
11-Jan-17,213.2,210.44,213.77,208.98,490.03K,1.31%,0.013115377
12-Jan-17,211.82,212.06,214.5,211.25,395.36K,-0.65%,-0.006472795
15-Jan-17,211.9,212.79,212.96,211.25,532.28K,0.04%,0.000377679
16-Jan-17,210.76,211.25,211.98,210.52,630.80K,-0.54%,-0.005379896
17-Jan-17,211.01,209.71,212.88,209.71,677.33K,0.12%,0.001186183
18-Jan-17,210.6,211.49,211.58,209.95,919.11K,-0.19%,-0.001943036
19-Jan-17,212.14,211.17,212.88,209.95,590.58K,0.73%,0.007312441
22-Jan-17,211.82,211.49,212.47,210.44,380.07K,-0.15%,-0.001508438
23-Jan-17,211.66,211.41,212.88,211.25,730.53K,-0.08%,-0.000755358
24-Jan-17,213.04,211.41,214.74,211.41,1.04M,0.65%,0.00651989
25-Jan-17,212.23,212.88,214.42,210.84,840.61K,-0.38%,-0.003802103
26-Jan-17,212.14,212.88,213.69,211.66,764.06K,-0.04%,-0.000424068
29-Jan-17,211.09,211.9,213.69,210.76,852.76K,-0.49%,-0.004949562
30-Jan-17,209.87,211.66,212.06,209.38,1.06M,-0.58%,-0.005779525
31-Jan-17,211.17,211.25,212.31,209.63,608.63K,0.62%,0.006194311
1-Feb-17,211.9,214.5,214.5,209.95,359.95K,0.35%,0.00345693
2-Feb-17,211.25,212.71,212.71,210.76,420.45K,-0.31%,-0.003067485
5-Feb-17,212.23,211.25,212.88,210.44,467.20K,0.46%,0.004639053
6-Feb-17,212.06,212.06,212.79,211.49,421.72K,-0.08%,-0.000801018
7-Feb-17,211.17,211.66,212.06,210.93,318.13K,-0.42%,-0.004196925
8-Feb-17,211.98,211.33,212.79,211.33,384.68K,0.38%,0.003835772
9-Feb-17,213.28,212.06,213.44,212.06,503.86K,0.61%,0.006132654
12-Feb-17,214.42,213.28,214.58,213.28,315.82K,0.53%,0.005345086
13-Feb-17,217.02,214.5,220.19,213.44,647.26K,1.21%,0.012125735
14-Feb-17,218.24,218.4,219.38,217.1,384.44K,0.56%,0.005621602
15-Feb-17,217.75,219.29,219.29,216.37,357.90K,-0.22%,-0.002245235
16-Feb-17,219.05,217.51,219.38,217.43,349.95K,0.60%,0.005970149
19-Feb-17,218.32,219.38,219.38,217.83,400.64K,-0.33%,-0.003332572
20-Feb-17,218.64,218.32,218.97,218.32,332.41K,0.15%,0.001465738
22-Feb-17,219.05,218.64,219.29,218.64,504.81K,0.19%,0.001875229
23-Feb-17,218.97,218.97,219.46,218.32,429.86K,-0.04%,-0.000365213
26-Feb-17,219.13,218.56,219.38,218.56,598.54K,0.07%,0.000730694
27-Feb-17,218.48,218.97,218.97,217.75,285.35K,-0.30%,-0.002966276
28-Feb-17,217.91,218.64,218.97,217.75,314.51K,-0.26%,-0.002608934
1-Mar-17,219.05,218.08,219.46,218.08,340.73K,0.52%,0.005231518
2-Mar-17,219.46,218.64,220.19,218.64,381.57K,0.19%,0.001871719
5-Mar-17,219.46,218.73,219.62,218.56,319.14K,0.00%,0
6-Mar-17,219.94,219.46,220.11,218.56,812.72K,0.22%,0.002187187
7-Mar-17,220.11,219.78,221.73,219.21,724.16K,0.08%,0.000772938
8-Mar-17,221.81,220.19,222.79,219.7,507.95K,0.77%,0.007723411
9-Mar-17,221.81,221.81,223.03,221.57,414.70K,0.00%,0
12-Mar-17,221.16,221.89,222.95,219.78,253.64K,-0.29%,-0.002930436
13-Mar-17,221.73,221.16,222.63,220.27,401.03K,0.26%,0.00257732
14-Mar-17,222.3,222.63,222.63,221.49,368.04K,0.26%,0.002570694
15-Mar-17,222.38,222.63,222.63,221.98,273.56K,0.04%,0.000359874
