Date,Price,Open,High,Low,Vol.,Change %
3-Jan-17,68.66,69.24,69.24,68.05,10.47M,-0.67%
4-Jan-17,69.06,68.66,69.63,68.6,7.92M,0.58%
5-Jan-17,69.21,68.43,69.33,68.12,7.10M,0.22%
6-Jan-17,68.26,68.41,68.5,68.01,9.49M,-1.37%
9-Jan-17,68.71,68.33,68.8,68.32,8.69M,0.66%
10-Jan-17,68.23,68.64,69.27,68.22,10.26M,-0.70%
11-Jan-17,68.53,68.2,68.62,68.19,6.70M,0.44%
12-Jan-17,67.97,68.36,68.56,67.92,6.54M,-0.82%
13-Jan-17,67.13,67.98,68.02,67.08,10.01M,-1.24%
17-Jan-17,68.42,68.09,69.29,68.06,13.17M,1.92%
18-Jan-17,68.11,67.88,68.11,67.54,7.32M,-0.45%
19-Jan-17,67.62,68.13,68.19,67.48,6.82M,-0.72%
20-Jan-17,67.18,67.74,67.83,67.02,12.05M,-0.65%
23-Jan-17,66.65,67.01,67.18,66.56,7.95M,-0.79%
24-Jan-17,67.4,66.89,67.41,66.66,10.71M,1.13%
25-Jan-17,66.89,67.52,67.73,66.79,8.72M,-0.76%
26-Jan-17,66.73,67.13,67.22,66.62,6.50M,-0.24%
27-Jan-17,65.66,66.86,66.97,65.28,13.43M,-1.60%
30-Jan-17,66.42,65.63,66.48,65.63,8.64M,1.16%
31-Jan-17,66.74,66.21,66.89,65.88,9.32M,0.48%
1-Feb-17,66.23,66.46,66.71,66.04,9.05M,-0.76%
2-Feb-17,66.7,66.34,67.14,66.34,9.00M,0.71%
3-Feb-17,66.5,66.82,66.93,66.44,7.63M,-0.30%
6-Feb-17,66.4,66.37,66.86,66.37,9.10M,-0.15%
7-Feb-17,66.89,66.56,67,66.51,5.81M,0.74%
8-Feb-17,67.81,66.89,67.82,66.89,7.66M,1.38%
9-Feb-17,69.08,67.8,69.14,67.75,11.08M,1.87%
10-Feb-17,68.02,68.25,68.6,67.76,12.45M,-1.53%
13-Feb-17,67.77,68.32,68.65,67.56,8.37M,-0.37%
14-Feb-17,68.66,67.88,68.68,67.71,8.46M,1.31%
15-Feb-17,68.69,67.76,68.71,67.76,8.56M,0.04%
16-Feb-17,68.87,68.67,69.24,68.61,8.41M,0.26%
17-Feb-17,69.37,68.83,69.78,68.69,12.84M,0.73%
21-Feb-17,71.45,71.21,72.28,70.7,22.41M,3.00%
22-Feb-17,71.71,72.25,72.37,71.48,15.24M,0.36%
23-Feb-17,71.31,72,72.5,71.16,12.80M,-0.56%
24-Feb-17,72.39,71.34,72.8,71.3,13.89M,1.51%
27-Feb-17,71.74,72.28,72.42,71.53,9.25M,-0.90%
28-Feb-17,70.93,70.87,71,70,15.95M,-1.13%
1-Mar-17,70.45,70.97,71.08,70.15,13.52M,-0.68%
2-Mar-17,70.76,70.42,70.9,70.17,8.92M,0.44%
3-Mar-17,70.03,70.81,71.02,69.88,9.30M,-1.03%
6-Mar-17,69.88,70,70.44,69.78,9.18M,-0.21%
7-Mar-17,69.87,69.9,70.21,69.86,7.28M,-0.01%
8-Mar-17,69.8,69.69,70.03,69.54,7.98M,-0.10%
9-Mar-17,69.86,69.75,70.04,69.56,7.56M,0.09%
10-Mar-17,70.1,70,70.36,69.8,7.10M,0.34%
13-Mar-17,69.95,69.99,70.45,69.71,6.80M,-0.21%
14-Mar-17,70.72,70.82,71.2,70.72,9.96M,1.10%
15-Mar-17,70.58,70.5,70.7,70.02,8.81M,-0.20%
16-Mar-17,70.44,70.11,70.7,70.07,7.06M,-0.20%
17-Mar-17,69.89,70.58,70.75,69.81,14.08M,-0.78%
20-Mar-17,69.98,70.14,70.45,69.71,7.47M,0.13%
21-Mar-17,69.9,70.17,70.4,69.69,8.75M,-0.11%
22-Mar-17,70.25,70.03,70.34,69.72,6.46M,0.50%
23-Mar-17,69.86,70.2,70.31,69.75,6.90M,-0.56%
24-Mar-17,69.61,69.99,70.17,69.53,5.86M,-0.36%
27-Mar-17,69.66,69.52,70.07,69.36,5.79M,0.07%
28-Mar-17,70.32,69.33,70.37,69.33,7.25M,0.95%
29-Mar-17,70.74,70.35,71.18,70.31,6.99M,0.60%
30-Mar-17,71.59,70.69,71.72,70.64,8.14M,1.20%
31-Mar-17,72.08,71.32,72.56,71.23,9.94M,0.68%
3-Apr-17,71.83,72.08,72.53,71.78,8.29M,-0.35%
4-Apr-17,72.01,71.74,72.06,71.53,5.57M,0.25%
5-Apr-17,71.65,71.64,72.31,71.56,6.35M,-0.50%
6-Apr-17,71.43,71.7,72.1,71.38,5.94M,-0.31%
7-Apr-17,72.9,72.1,72.99,71.8,10.77M,2.06%
10-Apr-17,73.06,72.99,73.48,72.73,7.50M,0.22%
11-Apr-17,73.43,73,73.45,72.93,5.81M,0.51%
12-Apr-17,73.44,73.55,73.83,73.25,6.63M,0.01%
13-Apr-17,73.15,73.37,73.66,73.15,5.34M,-0.39%
17-Apr-17,73.49,73.16,73.58,73.15,5.47M,0.46%
18-Apr-17,73.89,73.54,74.1,73.48,6.63M,0.54%
19-Apr-17,74.07,74.1,74.38,73.86,5.94M,0.24%
20-Apr-17,74.8,74.14,75.11,74.11,7.68M,0.99%
21-Apr-17,74.94,74.74,75.11,74.6,5.76M,0.19%
24-Apr-17,74.78,75.08,75.4,74.42,7.81M,-0.21%
25-Apr-17,75.05,74.97,75.17,74.86,5.72M,0.36%
26-Apr-17,75.43,75.27,75.77,75.17,6.95M,0.51%
27-Apr-17,75.44,75.54,75.7,75.02,6.05M,0.01%
28-Apr-17,75.18,75.24,75.44,74.93,7.33M,-0.34%
1-May-17,75.23,75.09,75.72,75.09,6.17M,0.07%
2-May-17,75.52,75.3,75.71,75.25,7.32M,0.39%
3-May-17,75.76,75.4,75.88,75.18,5.52M,0.32%
4-May-17,76.34,75.93,76.39,75.83,5.50M,0.77%
5-May-17,76.5,76.42,76.6,76.18,5.60M,0.21%
8-May-17,76.12,76.5,76.52,76.07,6.51M,-0.50%
9-May-17,76.72,76.44,77.05,76.33,8.26M,0.79%
10-May-17,76.7,76.33,76.78,76.19,7.51M,-0.03%
11-May-17,76.13,76.35,76.72,75.92,8.35M,-0.74%
12-May-17,75.71,75.95,76.25,75.37,5.89M,-0.55%
15-May-17,76.29,75.8,76.47,75.8,8.84M,0.77%
16-May-17,75.11,76.19,76.27,75.08,8.37M,-1.55%
17-May-17,75.12,75.05,75.73,74.96,10.97M,0.01%
18-May-17,77.54,76.89,77.66,76.13,19.17M,3.22%
19-May-17,78.77,77.97,79.44,77.77,18.58M,1.59%
22-May-17,78.55,78.65,79,78.3,8.90M,-0.28%
23-May-17,78.49,78.58,78.97,78.44,7.58M,-0.08%
24-May-17,78.15,78.56,78.61,78.14,7.50M,-0.43%
25-May-17,78.31,78.36,78.85,78.15,6.13M,0.20%
26-May-17,78.13,78.37,78.54,77.79,6.13M,-0.23%
30-May-17,78.15,78,78.4,77.93,5.41M,0.03%
31-May-17,78.6,78.35,78.92,78.22,8.20M,0.58%
1-Jun-17,79.81,78.64,79.81,78.6,8.15M,1.54%
2-Jun-17,79.62,79.8,79.93,79.22,8.00M,-0.24%
5-Jun-17,80.26,79.6,80.47,79.48,10.15M,0.80%
6-Jun-17,78.93,79.43,79.56,78.26,11.53M,-1.66%
7-Jun-17,79.15,79.08,79.5,78.73,8.51M,0.28%
8-Jun-17,78.93,79.58,80.13,78.23,10.93M,-0.28%
9-Jun-17,79.42,79.03,79.56,78.72,9.41M,0.62%
12-Jun-17,79.24,79.4,80.37,78.84,10.41M,-0.23%
13-Jun-17,79.52,79.21,79.57,78.89,5.53M,0.35%
14-Jun-17,79.9,79.52,80.03,79.26,5.01M,0.48%
15-Jun-17,78.91,79.18,79.3,77.76,11.30M,-1.24%
16-Jun-17,75.24,73.95,75.5,73.29,56.23M,-4.65%
19-Jun-17,75.5,75.38,76.01,74.52,16.10M,0.35%
20-Jun-17,75.54,75.88,75.92,75.32,10.02M,0.05%
21-Jun-17,76.24,75.6,76.61,75.58,9.01M,0.93%
22-Jun-17,75.52,76.03,76.06,75.3,8.11M,-0.94%
23-Jun-17,74.84,75.6,75.78,74.55,13.08M,-0.90%
26-Jun-17,75.5,74.95,75.93,74.92,8.59M,0.88%
27-Jun-17,76.01,75.52,76.37,75.45,6.45M,0.68%
28-Jun-17,76.51,76.25,76.8,76.14,6.99M,0.66%
29-Jun-17,75.93,76.25,76.32,75.48,7.06M,-0.76%
30-Jun-17,75.68,76.08,76.27,75.67,6.96M,-0.33%
3-Jul-17,75.36,75.84,76.34,75.08,4.85M,-0.42%
5-Jul-17,75.32,75.55,75.95,75.17,6.04M,-0.05%
6-Jul-17,75.47,75.35,75.97,75.24,6.16M,0.20%
7-Jul-17,75.33,75.65,75.82,75.05,5.31M,-0.19%
10-Jul-17,73.23,75.15,75.31,73.13,15.07M,-2.79%
11-Jul-17,73.47,73.38,74.05,73.33,7.53M,0.33%
12-Jul-17,73.94,73.66,74.21,73.66,5.70M,0.64%
13-Jul-17,75.05,74.67,75.25,74.51,8.16M,1.50%
14-Jul-17,76.34,76.27,76.56,75.91,9.15M,1.72%
17-Jul-17,76.37,76.29,76.87,76.19,8.84M,0.04%
18-Jul-17,76.2,76.25,76.54,76,4.31M,-0.22%
19-Jul-17,75.87,76.08,76.22,75.6,5.31M,-0.43%
20-Jul-17,76.02,75.98,76.25,75.7,4.97M,0.20%
21-Jul-17,76.15,75.84,76.23,75.55,7.15M,0.17%
24-Jul-17,76.89,76.03,77.16,76.03,7.39M,0.97%
25-Jul-17,78.52,77.61,78.86,77.39,11.50M,2.12%
26-Jul-17,78.9,78.55,79.17,77.94,6.72M,0.48%
27-Jul-17,79.78,78.72,79.86,78.48,8.05M,1.12%
28-Jul-17,79.81,79.8,79.95,79.53,4.98M,0.04%
31-Jul-17,79.99,79.82,80.34,79.69,6.26M,0.23%
1-Aug-17,80.5,80.25,80.73,80,5.73M,0.64%
2-Aug-17,80.53,80.34,81.11,80.3,8.67M,0.04%
3-Aug-17,80.87,81.34,81.76,80.67,9.95M,0.42%
4-Aug-17,80.48,81.06,81.4,80.21,7.14M,-0.48%
7-Aug-17,81.28,80.57,81.45,80.54,5.48M,0.99%
8-Aug-17,81.59,81.17,81.86,80.9,7.38M,0.38%
9-Aug-17,81.61,81.11,81.99,80.9,6.61M,0.02%
10-Aug-17,80.66,81.07,81.4,80.55,8.04M,-1.16%
11-Aug-17,80.4,80.73,81.25,80.36,7.91M,-0.32%
14-Aug-17,80.7,80.59,81.24,80.5,7.79M,0.37%
15-Aug-17,80.77,80.83,81.4,80.54,7.07M,0.09%
16-Aug-17,80.98,81.27,81.44,80.54,11.54M,0.26%
17-Aug-17,79.7,78.85,79.81,78.33,17.29M,-1.58%
18-Aug-17,79.31,79.62,80.35,79.28,9.75M,-0.49%
21-Aug-17,79.71,79.12,80.07,78.79,9.61M,0.50%
22-Aug-17,80.02,79.8,80.16,79.71,6.55M,0.39%
23-Aug-17,79.96,80.35,80.56,79.88,7.80M,-0.07%
24-Aug-17,78.34,80.61,80.88,77.85,19.13M,-2.03%
25-Aug-17,78.63,78.5,79.09,78.48,9.90M,0.37%
28-Aug-17,78.03,78.41,78.46,77.86,8.62M,-0.76%
29-Aug-17,78.77,77.67,78.98,77.5,7.67M,0.95%
30-Aug-17,78.54,78.82,79.1,78.52,5.83M,-0.29%
31-Aug-17,78.07,78.6,78.75,78.06,8.19M,-0.60%
1-Sep-17,78.37,78.31,78.5,78.21,6.47M,0.38%
5-Sep-17,79.8,77.95,79.89,77.9,12.07M,1.82%
6-Sep-17,80.08,79.88,80.4,79.72,8.43M,0.35%
7-Sep-17,80.12,80.32,80.76,80,6.82M,0.05%
8-Sep-17,78.88,79.74,79.88,77.73,10.00M,-1.55%
11-Sep-17,79.08,79.15,79.35,78.66,7.00M,0.25%
12-Sep-17,79.61,79.3,79.91,79.17,6.00M,0.67%
13-Sep-17,79.86,79.61,80.68,79.59,8.82M,0.31%
14-Sep-17,79.68,79.79,79.82,79.22,6.94M,-0.23%
15-Sep-17,80.38,79.81,80.75,79.27,13.32M,0.88%
18-Sep-17,80,80.21,81.12,79.95,8.18M,-0.47%
19-Sep-17,80.05,80.18,80.46,79.7,6.17M,0.06%
20-Sep-17,80.5,80.17,80.56,79.87,5.32M,0.56%
21-Sep-17,80.01,80.57,80.57,79.72,6.43M,-0.61%
22-Sep-17,79.53,79.89,80.08,79.25,5.76M,-0.60%
25-Sep-17,79.15,78.92,80.1,78.86,8.55M,-0.48%
26-Sep-17,79.39,79.04,79.54,78.92,5.84M,0.30%
27-Sep-17,79.29,79.42,79.57,78.67,6.31M,-0.13%
28-Sep-17,78.95,79,79.08,78.12,12.37M,-0.43%
29-Sep-17,78.14,78.85,79,77.98,10.35M,-1.03%
2-Oct-17,78.45,77.9,78.83,77.5,7.71M,0.40%
3-Oct-17,79.22,78.83,79.66,78.75,7.94M,0.98%
