Date,Price,Open,High,Low,Vol.,Change %,return
2-Jan-19,93.34,91.64,93.65,91.64,8.15M,0.20%,0
3-Jan-19,92.86,93.21,94.71,92.7,8.28M,-0.51%,-0.00514249
4-Jan-19,93.44,93.21,93.66,92.69,8.03M,0.62%,0.006245962
7-Jan-19,94.54,93.62,95.17,93.18,7.79M,1.18%,0.01177226
8-Jan-19,95.2,95.06,95.75,93.91,7.20M,0.70%,0.006981172
9-Jan-19,94.89,95.71,96.14,94.77,6.27M,-0.33%,-0.003256303
10-Jan-19,94.96,93.88,94.98,93.12,9.40M,0.07%,0.000737696
11-Jan-19,94.84,94.99,95.29,94.55,5.39M,-0.13%,-0.00126369
14-Jan-19,94.95,94.48,95.45,94.28,7.09M,0.12%,0.001159848
15-Jan-19,96.25,95.47,96.6,95.38,7.06M,1.37%,0.013691417
16-Jan-19,96.35,95.93,96.86,95.83,5.41M,0.10%,0.001038961
17-Jan-19,96.74,96.32,97.21,96.16,5.61M,0.40%,0.004047743
18-Jan-19,97.73,96.95,98.2,96.85,6.12M,1.02%,0.010233616
22-Jan-19,97.49,97.15,98.43,96.78,8.06M,-0.25%,-0.002455745
23-Jan-19,98.71,98.87,99.35,97.53,8.35M,1.25%,0.012514104
24-Jan-19,98.36,98.2,98.46,96.43,7.61M,-0.35%,-0.00354574
25-Jan-19,96.94,98.75,98.91,96.75,7.22M,-1.44%,-0.014436763
28-Jan-19,97.06,96.53,97.07,96.08,5.88M,0.12%,0.001237879
29-Jan-19,96.71,96.77,97.16,96.51,5.25M,-0.36%,-0.003606017
30-Jan-19,94.8,96.68,96.8,94.26,11.85M,-1.97%,-0.019749767
31-Jan-19,95.83,94.63,96.87,94.63,14.72M,1.09%,0.010864979
1-Feb-19,93.86,95.92,96,93.11,12.59M,-2.06%,-0.020557237
4-Feb-19,94.77,93.86,94.77,93.35,7.27M,0.97%,0.009695291
5-Feb-19,95.6,95.25,95.94,95.02,6.10M,0.88%,0.008758046
6-Feb-19,95.64,95.43,96.01,95.22,4.26M,0.04%,0.00041841
7-Feb-19,96.73,95.11,96.82,95,7.01M,1.14%,0.011396905
8-Feb-19,95.58,96.34,96.69,95.14,6.17M,-1.19%,-0.011888763
11-Feb-19,96.2,95.65,96.35,95.64,5.54M,0.65%,0.006486713
12-Feb-19,96.97,96.82,97.17,96.5,5.88M,0.80%,0.008004158
13-Feb-19,97.94,97.3,98,97.09,5.46M,1.00%,0.010003094
14-Feb-19,98.52,97.68,99.2,97.02,7.20M,0.59%,0.005921993
15-Feb-19,99.99,98.98,100,98.86,9.48M,1.49%,0.014920828
19-Feb-19,102.2,102.38,104.18,102.07,20.70M,2.21%,0.02210221
20-Feb-19,99.88,101.81,102.34,98.65,17.63M,-2.27%,-0.022700587
21-Feb-19,99.39,99.66,99.92,98.91,6.41M,-0.49%,-0.004905887
22-Feb-19,99.55,99.82,100.16,99.14,8.09M,0.16%,0.00160982
25-Feb-19,99.12,100.12,100.13,99.05,9.23M,-0.43%,-0.004319437
26-Feb-19,98.69,99.02,99.06,97.87,8.49M,-0.43%,-0.004338176
27-Feb-19,98.11,98.12,98.39,97.59,7.90M,-0.59%,-0.005876989
28-Feb-19,98.99,98.11,99.47,97.77,11.38M,0.90%,0.008969524
1-Mar-19,97.93,99.47,99.56,97.12,10.35M,-1.07%,-0.010708152
4-Mar-19,97.85,98.12,98.59,97.37,7.68M,-0.08%,-0.00081691
5-Mar-19,98.34,98.13,99.19,98.09,6.12M,0.50%,0.005007665
6-Mar-19,98.26,98.27,99,97.86,4.70M,-0.08%,-0.000813504
7-Mar-19,97.45,97.71,98.2,97.23,6.13M,-0.82%,-0.008243436
8-Mar-19,97.59,97.55,98.42,97,5.66M,0.14%,0.001436634
11-Mar-19,98.48,98.04,98.58,97.82,5.35M,0.91%,0.009119787
12-Mar-19,98.37,98.53,98.74,98.05,5.07M,-0.11%,-0.001116978
13-Mar-19,99.03,98.7,99.35,98.39,5.48M,0.67%,0.006709363
14-Mar-19,98.22,98.41,98.43,97.59,4.93M,-0.82%,-0.00817934
15-Mar-19,98.42,98.28,98.51,97.6,14.60M,0.20%,0.002036245
18-Mar-19,99.66,98.3,99.77,98.26,5.77M,1.26%,0.012599065
19-Mar-19,99.85,99.99,100.49,99.57,5.41M,0.19%,0.001906482
20-Mar-19,98.64,99.2,99.55,98.54,6.32M,-1.21%,-0.012118177
21-Mar-19,99.06,98.25,99.13,98.1,6.55M,0.43%,0.004257908
22-Mar-19,98.28,98.58,99.53,97.94,6.71M,-0.79%,-0.007874016
25-Mar-19,98.17,97.8,98.62,97.63,5.41M,-0.11%,-0.001119251
26-Mar-19,98.32,98.36,98.85,98.03,4.95M,0.15%,0.001527962
27-Mar-19,97.21,98.14,98.86,96.96,8.47M,-1.13%,-0.011289666
28-Mar-19,97.13,97.59,97.87,96.53,8.05M,-0.08%,-0.000822961
29-Mar-19,97.53,97.59,97.67,97.04,7.44M,0.41%,0.004118192
