Date,Price,Open,High,Low,Vol.,Change %
4-Jan-10,31.53,31.38,31.6,30.97,12.20M,3.44%
5-Jan-10,31.48,31.73,31.97,31.28,11.18M,-0.16%
6-Jan-10,31.79,31.6,32.06,31.41,9.76M,0.98%
7-Jan-10,33.01,31.59,33.05,31.59,11.79M,3.84%
8-Jan-10,32.7,32.86,32.92,32.34,7.23M,-0.94%
11-Jan-10,32.92,32.71,33.13,32.7,7.21M,0.67%
12-Jan-10,32.05,32.7,32.91,31.54,13.12M,-2.64%
13-Jan-10,32.54,31.99,32.55,31.68,8.80M,1.53%
14-Jan-10,33.32,32.68,33.33,32.33,8.82M,2.40%
15-Jan-10,33.75,33.54,33.99,33.1,19.38M,1.29%
19-Jan-10,35.13,34.56,35.9,34.5,26.48M,4.09%
20-Jan-10,34.55,35.94,36.07,34.29,26.86M,-1.65%
21-Jan-10,33.1,35.43,35.69,33,29.19M,-4.20%
22-Jan-10,33.16,33.82,34.11,33.1,21.03M,0.18%
25-Jan-10,33,33.56,33.72,32.96,10.93M,-0.48%
26-Jan-10,32.44,32.51,32.91,32.44,11.06M,-1.70%
27-Jan-10,33.24,32.34,33.53,32.11,14.39M,2.47%
28-Jan-10,33.43,33.33,34.09,33.04,16.75M,0.57%
29-Jan-10,33,33.42,33.8,32.96,11.93M,-1.29%
1-Feb-10,33.13,33.03,33.41,32.22,13.71M,0.39%
2-Feb-10,34.05,33.14,34.12,32.93,12.11M,2.78%
3-Feb-10,33.32,34.05,34.05,32.82,8.41M,-2.14%
4-Feb-10,32.46,33.24,33.24,32.39,10.65M,-2.58%
5-Feb-10,32.54,32.42,32.63,31.84,12.67M,0.25%
8-Feb-10,32.41,32.23,32.95,32.23,9.56M,-0.40%
9-Feb-10,33,32.72,33.06,32,11.24M,1.82%
10-Feb-10,32.71,33,33.17,32.3,10.76M,-0.88%
11-Feb-10,33.12,32.71,33.2,32.44,7.86M,1.25%
12-Feb-10,32.18,32.78,32.85,32.03,11.69M,-2.84%
16-Feb-10,31.63,32.33,32.6,31.39,13.93M,-1.71%
17-Feb-10,32.55,31.68,33.21,31.68,11.69M,2.91%
18-Feb-10,32.69,32.23,32.99,32.12,10.33M,0.43%
19-Feb-10,31.94,32.42,32.77,31.83,11.51M,-2.29%
22-Feb-10,33.08,32.11,33.12,31.88,16.34M,3.57%
23-Feb-10,32.81,32.87,33.17,32.35,10.75M,-0.82%
24-Feb-10,33.62,32.88,33.66,32.36,10.98M,2.47%
25-Feb-10,33.45,33.32,33.98,32.84,14.78M,-0.51%
26-Feb-10,33.86,33.52,34.3,33.36,9.68M,1.23%
1-Mar-10,34.04,34,34.72,33.52,10.97M,0.53%
2-Mar-10,33.95,34.11,34.37,33.61,7.08M,-0.26%
3-Mar-10,34.1,34.05,34.35,33.77,8.09M,0.44%
4-Mar-10,32.95,34.05,34.1,32.42,17.39M,-3.37%
5-Mar-10,33.74,33.03,33.79,32.96,8.13M,2.40%
8-Mar-10,33.1,33.74,33.84,33.03,7.73M,-1.90%
9-Mar-10,33.08,33.18,33.45,33.07,8.77M,-0.06%
10-Mar-10,33.24,33.02,33.55,32.94,7.42M,0.48%
11-Mar-10,33.5,33.09,33.56,32.94,14.68M,0.78%
12-Mar-10,32.91,33.68,33.74,32.78,9.45M,-1.76%
15-Mar-10,32.53,32.78,32.78,31.93,13.52M,-1.15%
16-Mar-10,33.05,32.15,33.11,32.09,12.93M,1.60%
17-Mar-10,32.75,33.16,33.16,32.26,10.61M,-0.91%
18-Mar-10,33.59,32.46,33.69,31.98,15.41M,2.56%
19-Mar-10,34.39,33.72,34.7,33.72,21.83M,2.38%
22-Mar-10,33.3,34.47,35.16,33.21,20.22M,-3.17%
23-Mar-10,33.16,33.36,33.46,32.96,11.41M,-0.42%
24-Mar-10,32.72,33.14,33.34,32.72,10.83M,-1.33%
25-Mar-10,33.12,32.76,33.26,32.6,14.79M,1.22%
26-Mar-10,32.63,33.1,33.27,32.6,8.75M,-1.48%
29-Mar-10,32.84,32.66,33.02,32.52,7.97M,0.64%
30-Mar-10,33.06,32.79,33.29,32.6,7.25M,0.67%
31-Mar-10,32.67,32.9,33.11,32.5,6.96M,-1.18%
1-Apr-10,32.99,32.8,32.99,32.52,6.71M,0.98%
5-Apr-10,33.14,33.12,33.22,32.77,6.73M,0.45%
6-Apr-10,33.41,33.27,34,33.25,9.43M,0.81%
7-Apr-10,32.93,33.53,33.53,32.74,8.40M,-1.44%
8-Apr-10,32.62,32.84,32.96,32.2,11.17M,-0.94%
9-Apr-10,32.26,32.66,32.71,31.61,12.83M,-1.10%
12-Apr-10,32.26,32.18,32.38,32.01,8.76M,0.00%
13-Apr-10,32.16,32.44,32.68,31.83,11.12M,-0.31%
14-Apr-10,31.05,32.11,32.12,30.94,16.50M,-3.45%
15-Apr-10,30.63,31.07,31.3,30.08,25.27M,-1.35%
16-Apr-10,30.73,30.54,31.11,30.34,15.36M,0.33%
19-Apr-10,31.23,30.56,31.67,30.56,13.52M,1.63%
20-Apr-10,30.98,32.22,32.23,30.26,26.56M,-0.80%
21-Apr-10,30.26,31.14,31.45,30.09,13.74M,-2.32%
22-Apr-10,30.46,30.25,30.52,29.88,14.15M,0.66%
23-Apr-10,30.95,30.31,30.97,30.28,14.80M,1.61%
26-Apr-10,29.85,31.12,31.15,29.7,16.60M,-3.55%
27-Apr-10,29.8,29.84,30.36,29.62,16.20M,-0.17%
28-Apr-10,30.44,29.93,30.62,29.71,13.27M,2.15%
29-Apr-10,31.3,30.81,31.74,30.79,13.61M,2.83%
30-Apr-10,30.31,31.34,31.34,30.22,15.55M,-3.16%
3-May-10,30.26,30.5,30.58,29.89,9.55M,-0.16%
4-May-10,29.49,30.01,30.05,29.28,11.75M,-2.54%
5-May-10,30,29.24,30.1,29.14,11.36M,1.73%
6-May-10,29.24,30.15,30.27,27.97,10.44M,-2.53%
7-May-10,29.02,29.05,29.27,28.25,14.20M,-0.75%
10-May-10,29.88,28.98,30.06,28.92,9.06M,2.96%
11-May-10,29.85,29.81,30.08,29.55,9.61M,-0.10%
12-May-10,30.32,29.85,30.38,29.79,11.35M,1.57%
13-May-10,30.18,30.2,30.43,29.93,7.15M,-0.46%
14-May-10,30.39,29.97,30.48,29.56,12.20M,0.70%
17-May-10,30.44,30.47,30.73,29.87,8.67M,0.16%
18-May-10,30.18,30.53,30.74,30.08,8.91M,-0.85%
19-May-10,29.99,30.11,30.25,29.75,10.10M,-0.63%
20-May-10,28.96,29.52,29.65,28.95,10.20M,-3.43%
21-May-10,28.7,28.54,29.07,28.16,11.50M,-0.90%
24-May-10,28.83,28.59,29.18,28.17,8.00M,0.45%
25-May-10,28.87,28.33,28.89,28.11,8.55M,0.14%
26-May-10,28.79,29.05,29.55,28.76,9.61M,-0.28%
27-May-10,29.32,29.31,29.32,28.85,6.50M,1.84%
28-May-10,29.07,29.29,29.41,28.85,11.70M,-0.85%
1-Jun-10,28.98,29.18,29.61,28.89,8.18M,-0.31%
2-Jun-10,29.91,29.12,29.94,28.87,7.97M,3.21%
3-Jun-10,30.46,29.92,30.49,29.66,8.06M,1.84%
4-Jun-10,30.34,30.09,31.61,29.89,16.68M,-0.39%
7-Jun-10,30.46,30.47,31.07,29.32,16.85M,0.40%
8-Jun-10,30.89,30.43,31.11,30.26,18.44M,1.41%
9-Jun-10,30.53,30.89,31.16,30.45,10.13M,-1.17%
10-Jun-10,30.7,30.92,31.12,30.22,11.77M,0.56%
11-Jun-10,30.67,30.5,30.83,30.13,9.07M,-0.10%
14-Jun-10,30.59,30.72,30.94,30.55,8.39M,-0.26%
15-Jun-10,31.19,30.9,31.2,30.76,9.57M,1.96%
16-Jun-10,31.39,30.84,31.63,30.84,10.15M,0.64%
17-Jun-10,31.5,31.54,31.54,31.17,9.37M,0.35%
18-Jun-10,31.33,31.5,31.62,31.2,10.24M,-0.54%
21-Jun-10,31.15,31.61,31.8,31.05,7.11M,-0.57%
22-Jun-10,30.64,31.11,31.34,30.58,6.58M,-1.64%
23-Jun-10,30.21,30.77,30.92,30.12,8.36M,-1.40%
24-Jun-10,29.76,30.08,30.15,29.63,8.95M,-1.49%
25-Jun-10,29.88,29.75,30.11,29.58,14.22M,0.40%
28-Jun-10,29.19,29.87,30.33,29.12,9.88M,-2.31%
29-Jun-10,28.63,28.88,29.03,28.46,14.39M,-1.92%
30-Jun-10,28.4,28.51,28.76,28.31,11.08M,-0.80%
1-Jul-10,27.85,28.31,28.31,27.13,15.60M,-1.94%
2-Jul-10,28.3,27.89,28.45,27.79,9.31M,1.62%
6-Jul-10,28.89,28.49,29.06,28.29,13.39M,2.08%
7-Jul-10,29.2,28.98,29.25,28.8,8.98M,1.07%
8-Jul-10,29.68,29.32,29.89,29.25,9.00M,1.64%
9-Jul-10,29.97,29.75,30.13,29.52,6.97M,0.98%
12-Jul-10,30.04,29.91,30.07,29.61,8.90M,0.23%
13-Jul-10,30.14,30.24,30.27,29.8,6.91M,0.33%
14-Jul-10,30.32,30,30.39,29.78,4.71M,0.60%
15-Jul-10,30.88,30.32,30.93,30.12,9.21M,1.85%
16-Jul-10,30.34,30.73,31.12,30.15,9.41M,-1.75%
19-Jul-10,30.82,30.48,30.96,30.29,8.58M,1.58%
20-Jul-10,30.83,31.35,31.49,30.24,13.49M,0.03%
