Date,Price,Open,High,Low,Vol.,Change %
3-Jan-12,51.49,51.24,51.7,51.11,6.02M,1.60%
4-Jan-12,52.24,51.26,52.25,51.25,5.41M,1.46%
5-Jan-12,52.59,51.89,52.73,51.8,6.33M,0.67%
6-Jan-12,52.78,52.75,53.42,52.48,5.32M,0.36%
9-Jan-12,52.72,52.63,52.97,52.47,5.08M,-0.11%
10-Jan-12,52.62,52.96,53.04,52.37,7.06M,-0.19%
11-Jan-12,53.01,52.49,53.12,52.06,4.28M,0.74%
12-Jan-12,52.87,53.22,53.24,52.53,4.55M,-0.26%
13-Jan-12,52.7,52.69,52.79,51.93,5.00M,-0.32%
17-Jan-12,53.57,53.05,53.64,52.87,6.50M,1.65%
18-Jan-12,53.94,53.35,54.18,52.93,8.39M,0.69%
19-Jan-12,52.32,52.31,53.02,51.42,18.66M,-3.00%
20-Jan-12,52.27,52.34,52.51,51.61,8.87M,-0.10%
23-Jan-12,52.43,52.2,53.05,51.96,7.54M,0.31%
24-Jan-12,51.33,52.27,52.52,51.23,10.40M,-2.10%
25-Jan-12,51.57,50.63,51.65,49.82,13.12M,0.47%
26-Jan-12,50.35,51.61,51.72,49.9,13.58M,-2.37%
27-Jan-12,51.02,50.34,51.24,50.32,7.03M,1.33%
30-Jan-12,51.07,50.82,51.17,50.07,4.85M,0.10%
31-Jan-12,51.79,51.4,52.88,51.38,8.84M,1.41%
1-Feb-12,53.26,52.16,53.61,52.12,7.48M,2.84%
2-Feb-12,52.54,53.25,53.25,52.01,5.32M,-1.35%
3-Feb-12,51.31,52.74,52.77,50.75,9.68M,-2.34%
6-Feb-12,51.29,50.98,51.4,50.68,8.58M,-0.04%
7-Feb-12,52.03,51.09,52.13,50.91,5.24M,1.44%
8-Feb-12,52.14,52,52.37,51.65,6.02M,0.21%
9-Feb-12,53.06,52.21,53.53,52.2,9.61M,1.76%
10-Feb-12,53.32,52.57,53.5,52.31,6.57M,0.49%
13-Feb-12,53.85,53.5,54.24,53.38,5.70M,0.99%
14-Feb-12,54.46,53.9,54.49,53.57,5.98M,1.13%
15-Feb-12,54.62,54.53,54.84,54.22,7.01M,0.29%
16-Feb-12,54.79,54.62,54.89,54.26,6.91M,0.31%
17-Feb-12,54.68,54.81,54.85,54.54,6.39M,-0.20%
