Date,Price,Open,High,Low,Vol.,Change %,return
2-Jan-18,221.16,221.02,222.45,220,3.48M,0.32%,0
3-Jan-18,223.48,221.62,223.81,220.52,2.42M,1.05%,1.049014288
4-Jan-18,224.45,224.34,226.1,224.17,2.75M,0.43%,0.434043315
5-Jan-18,228.73,225.19,229.05,224.72,2.43M,1.91%,1.906883493
8-Jan-18,224.76,228.13,228.71,224.61,2.85M,-1.74%,-1.735670878
9-Jan-18,225.88,224.76,226.63,223.3,2.67M,0.50%,0.498309308
10-Jan-18,224.2,224.83,225.01,223.03,2.31M,-0.74%,-0.743757747
11-Jan-18,225.39,224.18,225.92,223.7,2.54M,0.53%,0.530776093
12-Jan-18,228.64,227.45,229.9,226.52,3.94M,1.44%,1.441945073
16-Jan-18,232.9,233.37,235,231.25,6.85M,1.86%,1.863191043
17-Jan-18,238.43,234.67,238.96,233.85,5.12M,2.37%,2.374409618
18-Jan-18,243.16,239.26,243.9,238.55,6.23M,1.98%,1.983810762
19-Jan-18,243.35,244.18,244.35,241.07,4.29M,0.08%,0.078137852
22-Jan-18,243.56,243.59,243.79,241.36,4.01M,0.09%,0.086295459
23-Jan-18,245.21,242.99,246.98,242.41,3.30M,0.68%,0.677451141
24-Jan-18,244.85,246.01,247.31,243.71,2.73M,-0.15%,-0.146812936
25-Jan-18,245.18,244.75,246.19,243.9,2.42M,0.13%,0.134776394
26-Jan-18,248.47,245,248.74,244.46,2.62M,1.34%,1.341871278
29-Jan-18,247.41,249.28,250.79,247.4,2.56M,-0.43%,-0.426610858
30-Jan-18,236.65,232.88,242.74,232.1,11.57M,-4.35%,-4.349056222
31-Jan-18,236.78,242.84,247,235.76,5.19M,0.05%,0.054933446
1-Feb-18,235.22,235.26,237.82,233.83,4.27M,-0.66%,-0.658839429
2-Feb-18,231.88,233,236.3,231.19,3.96M,-1.42%,-1.419947283
5-Feb-18,220.02,230.79,233.11,208.48,6.29M,-5.11%,-5.114714508
6-Feb-18,225.18,212.2,226.51,210.21,7.06M,2.35%,2.345241342
7-Feb-18,225.82,222.33,229.29,221.51,5.59M,0.28%,0.284217071
8-Feb-18,216.46,225.33,226.63,216.26,4.90M,-4.14%,-4.144894163
9-Feb-18,220.96,218,223.28,212.01,6.23M,2.08%,2.078906033
12-Feb-18,225.69,222.44,228,222.15,4.91M,2.14%,2.140658943
13-Feb-18,226.64,223.15,227.12,222.38,3.54M,0.42%,0.420931366
14-Feb-18,228.78,224.95,229.34,223.92,2.88M,0.94%,0.944228733
15-Feb-18,226.02,229.27,230,221.74,4.66M,-1.21%,-1.206399161
16-Feb-18,229.37,225.99,230.55,225.7,3.62M,1.48%,1.482169719
20-Feb-18,226.66,227.91,228.75,225.61,3.17M,-1.18%,-1.181497144
21-Feb-18,225.13,226.15,229.35,225.11,3.37M,-0.68%,-0.675019854
22-Feb-18,227.09,226.3,229.84,225.08,2.77M,0.87%,0.870608093
23-Feb-18,230.16,227.9,230.32,225.91,2.39M,1.35%,1.351886917
26-Feb-18,234.06,231.64,234.51,229.7,3.31M,1.69%,1.69447341
27-Feb-18,232.52,234.4,235.89,232.44,2.90M,-0.66%,-0.657950953
28-Feb-18,226.16,234.42,234.75,226.09,4.37M,-2.74%,-2.735248581
1-Mar-18,224.45,225.7,229.29,222.74,3.51M,-0.76%,-0.756101875
2-Mar-18,225.19,223.21,225.82,222.59,2.61M,0.33%,0.32969481
5-Mar-18,228.38,223.37,229.43,222.79,2.63M,1.42%,1.416581553
6-Mar-18,226.18,228.92,229.15,223.89,2.65M,-0.96%,-0.963306769
7-Mar-18,227.27,224.35,227.81,223.75,3.24M,0.48%,0.481917057
8-Mar-18,224.73,227.93,227.99,223.92,3.50M,-1.12%,-1.117613411
9-Mar-18,225.43,226.11,226.52,222.5,4.83M,0.31%,0.311484893
12-Mar-18,222.77,226.21,227,222.77,3.12M,-1.18%,-1.179967174
13-Mar-18,226.94,223.53,228.06,223.16,3.34M,1.87%,1.871885801
14-Mar-18,225.38,227.13,229.39,225.02,3.05M,-0.69%,-0.687406363
15-Mar-18,229.48,225.83,230.76,225.66,3.33M,1.82%,1.81914988
16-Mar-18,227.86,229.66,231.27,227.75,5.69M,-0.71%,-0.705943873
19-Mar-18,225.05,227.31,227.97,223.68,3.41M,-1.23%,-1.233213377
20-Mar-18,226.78,225.16,227.6,223.88,3.43M,0.77%,0.768718063
21-Mar-18,222.82,226.45,227.44,222.82,3.42M,-1.75%,-1.746185731
22-Mar-18,215.21,221.65,221.66,215.1,5.89M,-3.42%,-3.415312809
23-Mar-18,212.55,215.75,217.73,212.5,5.74M,-1.24%,-1.236002045
26-Mar-18,219.07,215.19,219.41,214.7,3.56M,3.07%,3.067513526
27-Mar-18,217.96,220.32,221.95,216.41,3.72M,-0.51%,-0.50668736
28-Mar-18,218.5,218.89,219.91,217.04,3.18M,0.25%,0.247751881
29-Mar-18,214,219.38,223.35,214,5.53M,-2.06%,-2.059496568
2-Apr-18,217.2,218.46,222.99,214.63,6.22M,1.50%,1.495327103
3-Apr-18,224.58,220.34,225.1,219.69,4.65M,3.40%,3.397790055
4-Apr-18,228.79,220.69,229.48,220.42,4.67M,1.87%,1.874610384
5-Apr-18,229.07,229.46,231.58,226.79,3.35M,0.12%,0.122382971
6-Apr-18,223.96,226.65,228.19,221.82,3.23M,-2.23%,-2.230759157
9-Apr-18,222.73,225.58,226.13,222.36,3.03M,-0.55%,-0.549205215
10-Apr-18,226.79,225.4,228.16,223.49,2.77M,1.82%,1.822834822
11-Apr-18,221.9,224.27,225.39,221.69,3.48M,-2.16%,-2.156179726
12-Apr-18,224.24,224.04,225.75,223.41,2.66M,1.05%,1.054529067
13-Apr-18,224.28,225.1,226.13,223.08,2.50M,0.02%,0.017838031
16-Apr-18,230.32,227.11,231.85,226.35,4.51M,2.69%,2.693062244
17-Apr-18,238.55,239.31,241.67,236.08,6.18M,3.57%,3.573289337
18-Apr-18,236.4,239,239.74,236.3,2.94M,-0.90%,-0.901278558
19-Apr-18,235.76,236.2,238.27,234.8,2.73M,-0.27%,-0.27072758
20-Apr-18,235.06,236.05,237.1,233.5,2.84M,-0.30%,-0.296912114
23-Apr-18,234.34,235.29,236.21,233.08,3.05M,-0.31%,-0.306304773
24-Apr-18,234.22,235.95,237.32,232.56,2.77M,-0.05%,-0.051207647
25-Apr-18,234.9,233.45,235.1,230.44,3.12M,0.29%,0.290325335
26-Apr-18,237.03,235.73,237.84,234.33,2.25M,0.91%,0.906768838
27-Apr-18,240.18,237.63,240.54,237.15,2.30M,1.33%,1.328945703
30-Apr-18,236.4,241,241,236.4,3.45M,-1.57%,-1.573819635
1-May-18,236.85,237,237.49,234.36,2.63M,0.19%,0.19035533
2-May-18,233.46,235.38,236.21,232.86,3.54M,-1.43%,-1.431285624
3-May-18,234.15,231.97,234.8,229.31,2.73M,0.30%,0.295553842
4-May-18,235.9,233.1,236.65,232.16,2.00M,0.75%,0.747384155
7-May-18,233.78,235.88,236.99,232.63,3.24M,-0.90%,-0.898685884
8-May-18,232.03,233.72,233.72,230.65,2.70M,-0.75%,-0.748567029
9-May-18,229.21,233.05,233.42,228.23,3.50M,-1.22%,-1.215360083
10-May-18,233.71,230.15,234.29,229.36,2.17M,1.96%,1.963265128
11-May-18,238.28,233.58,238.8,232.95,3.04M,1.96%,1.95541483
14-May-18,242.9,238.9,243.67,238.82,3.89M,1.94%,1.938895417
15-May-18,239.5,241.86,242.22,238.67,2.40M,-1.40%,-1.399752985
16-May-18,241.72,239.65,241.81,238.57,1.91M,0.93%,0.926931106
17-May-18,242.96,241.49,243.56,240.54,2.42M,0.51%,0.512990237
18-May-18,244.64,243.37,244.76,242.39,2.28M,0.69%,0.691471847
21-May-18,247.9,245,249.17,244.84,3.04M,1.33%,1.332570307
22-May-18,245.18,248,248.05,243.84,2.64M,-1.10%,-1.09721662
23-May-18,244.26,244.03,245.5,241.63,3.05M,-0.38%,-0.375234522
24-May-18,242.73,244.57,245.44,242.2,2.61M,-0.63%,-0.626381724
25-May-18,244.95,242.95,245.58,242.44,1.55M,0.91%,0.914596465
29-May-18,242.17,243.86,243.86,240.24,2.84M,-1.13%,-1.134925495
30-May-18,244.94,243.74,245.75,242.63,2.07M,1.14%,1.143824586
31-May-18,241.51,244.21,244.75,240.68,2.97M,-1.40%,-1.400342941
1-Jun-18,243.35,243.74,243.74,241.29,2.37M,0.76%,0.761873214
4-Jun-18,244.63,244,245.24,242.74,2.19M,0.53%,0.52599137
5-Jun-18,244.43,245.09,245.11,241.91,1.53M,-0.08%,-0.081756121
6-Jun-18,248.65,246.32,248.72,245.13,2.65M,1.73%,1.726465655
7-Jun-18,248.98,249.76,250,248.25,2.12M,0.13%,0.13271667
8-Jun-18,250.68,249.46,251.5,248.07,3.03M,0.68%,0.682785766
11-Jun-18,253.78,250.84,254.99,250.4,2.78M,1.24%,1.236636349
12-Jun-18,253.58,253.2,253.94,250.17,2.57M,-0.08%,-0.078808417
13-Jun-18,252.87,254.14,256.73,252.48,3.14M,-0.28%,-0.279990536
14-Jun-18,255.33,254.47,255.99,253.66,2.46M,0.97%,0.97283189
15-Jun-18,255.98,254.27,255.98,252.56,4.77M,0.25%,0.254572514
18-Jun-18,254.87,254,255.01,252.13,1.96M,-0.43%,-0.433627627
19-Jun-18,253.02,252.97,253.3,251.16,2.37M,-0.73%,-0.725860242
20-Jun-18,252.81,253.31,253.73,251.88,2.58M,-0.08%,-0.082997392
21-Jun-18,251.89,252.95,253.65,250.92,2.15M,-0.36%,-0.363909655
22-Jun-18,254.37,252.24,255.11,251.19,2.74M,0.98%,0.984556751
25-Jun-18,250.71,254.36,255.13,248.61,3.06M,-1.44%,-1.438848921
26-Jun-18,249.77,250.56,252.47,249.54,2.16M,-0.37%,-0.374935184
27-Jun-18,248.17,250.29,251.76,248.13,2.48M,-0.64%,-0.640589342
28-Jun-18,244.9,247.13,248,242.23,3.56M,-1.32%,-1.317645163
29-Jun-18,245.34,244.9,247.5,244.6,2.79M,0.18%,0.179665169
2-Jul-18,247.48,245,247.73,244.12,1.79M,0.87%,0.872258906
3-Jul-18,246.98,248.3,248.75,246.74,1.25M,-0.20%,-0.202036528
5-Jul-18,250.5,249.11,250.93,247.58,2.18M,1.43%,1.425216617
6-Jul-18,250.76,251.01,251.73,249.42,1.57M,0.10%,0.103792415
9-Jul-18,253.67,252.13,254.01,251.05,2.04M,1.16%,1.160472165
10-Jul-18,255.54,254.18,256.9,253.75,2.01M,0.74%,0.737178224
11-Jul-18,254.59,255.14,256,253.74,1.49M,-0.37%,-0.371761759
12-Jul-18,256.05,256.18,256.82,254.92,1.59M,0.57%,0.573471071
13-Jul-18,258.7,256.39,259.01,256.02,2.36M,1.03%,1.034954111
16-Jul-18,256.98,258.29,258.45,256.44,3.63M,-0.66%,-0.664862775
17-Jul-18,250.29,251.55,252.52,246.27,6.93M,-2.60%,-2.603315433
18-Jul-18,255.42,251.11,256.61,250.44,3.36M,2.05%,2.049622438
19-Jul-18,252.93,255.32,256.5,251.85,2.31M,-0.97%,-0.974864928
20-Jul-18,252.7,251.17,253.55,251.17,2.01M,-0.09%,-0.090934251
23-Jul-18,252.74,252.91,255.23,252.43,1.48M,0.02%,0.015829046
24-Jul-18,253.76,254.86,254.96,252.01,2.48M,0.40%,0.403576798
25-Jul-18,254.86,254.81,255.27,252.76,3.05M,0.43%,0.433480454
26-Jul-18,257,256.25,257.87,255.79,2.02M,0.84%,0.839676685
27-Jul-18,255.95,257.79,257.79,255.39,1.66M,-0.41%,-0.408560311
30-Jul-18,253.84,255.91,256.89,253.11,1.68M,-0.82%,-0.824379762
31-Jul-18,253.22,254.14,255.2,252.85,2.36M,-0.24%,-0.244248345
1-Aug-18,253.37,256.1,256.1,252.81,3.01M,0.06%,0.059237027
2-Aug-18,256.08,253.5,256.3,252.23,1.85M,1.07%,1.069582034
3-Aug-18,257.22,256.45,257.56,254.3,1.42M,0.45%,0.445173383
6-Aug-18,256.76,256.5,257.54,255.47,1.40M,-0.18%,-0.178835238
7-Aug-18,257.65,257.64,258.84,257.13,1.46M,0.35%,0.3466272
8-Aug-18,258.81,258.11,259.5,257.92,1.49M,0.45%,0.450223171
9-Aug-18,261.59,259.91,263.02,259.31,2.32M,1.07%,1.074147058
10-Aug-18,260.36,260.49,261.5,259.11,1.63M,-0.47%,-0.47020146
13-Aug-18,260.91,261,262.55,260.3,1.64M,0.21%,0.211245967
14-Aug-18,263.48,260.89,264.3,260.85,1.94M,0.99%,0.985013989
