Date,Price,Open,High,Low,Vol.,Change %,CP,EMA12,EMA26,MACD,K,D,R,trend
4-Jan-10,54.23,53.74,54.67,53.67,20.75M,1.46%,,,,,,,,0
5-Jan-10,53.69,54.09,54.19,53.57,15.65M,-1.00%,,,,,,,,0
6-Jan-10,53.57,53.5,53.83,53.42,12.52M,-0.22%,,,,,,,,1
7-Jan-10,53.6,53.72,53.75,53.26,10.66M,0.06%,,,,,,,,0
8-Jan-10,53.33,53.43,53.53,53.02,11.36M,-0.50%,,,,,,,,1
11-Jan-10,54.21,53.33,54.44,53.1,13.99M,1.65%,,,,,,,,1
12-Jan-10,54.73,54,54.75,53.86,15.12M,0.96%,,,,,,,,1
13-Jan-10,55.01,54.79,55.2,54.41,13.29M,0.51%,,,,,,,,0
14-Jan-10,54.21,54.73,54.84,54.16,13.77M,-1.45%,,,,,,,,0
15-Jan-10,53.68,54.34,54.55,53.6,19.09M,-0.98%,,,,,,,,1
19-Jan-10,54.03,53.91,54.26,53.5,14.62M,0.65%,,,,,,,,0
20-Jan-10,53.86,53.92,53.94,53.23,13.31M,-0.31%,,,,,,,,0
21-Jan-10,52.92,54.07,54.07,52.84,16.03M,-1.75%,,58.4225,,,,,,1
22-Jan-10,52.94,52.96,53.47,52.69,19.42M,0.04%,,57.57903846,,,,,,0
25-Jan-10,52.88,53.14,53.22,52.77,12.00M,-0.11%,,56.85610947,,,,,,1
26-Jan-10,53.61,52.82,53.86,52.73,15.59M,1.38%,57.36666667,56.35670801,,,77.87610619,,22.12389381,0
27-Jan-10,53.4,53.52,53.77,53.1,13.19M,-0.39%,57.31133333,55.90182986,,,44.7761194,,55.2238806,0
28-Jan-10,52.61,53.38,53.45,52.51,16.96M,-1.48%,57.23933333,55.39539449,,,10.63829787,44.43017449,89.36170213,1
29-Jan-10,53.43,53.68,54.15,53.4,24.28M,1.56%,57.23,55.09302611,,,4,19.80480576,96,1
1-Feb-10,53.48,53.62,53.78,53.31,11.03M,0.09%,57.222,54.84486825,,,36.17021277,16.93617021,63.82978723,1
2-Feb-10,53.49,53.59,53.72,53.33,11.39M,0.02%,57.23266667,54.63642698,,,41.02564103,27.0652846,58.97435897,1
3-Feb-10,54.27,53.73,54.5,53.64,17.99M,1.46%,57.23666667,54.5800536,,,73.25581395,50.15055592,26.74418605,0
4-Feb-10,52.97,53.88,54.3,52.96,21.03M,-2.40%,57.11933333,54.33235304,,,0.746268657,38.34257455,99.25373134,1
5-Feb-10,53.45,52.77,53.53,52.76,15.55M,0.91%,57.01533333,54.19660642,,,89.61038961,54.53749074,10.38961039,0
8-Feb-10,52.93,53.38,53.54,52.92,10.51M,-0.97%,56.93,54.00174389,,,1.612903226,30.6565205,98.38709677,1
9-Feb-10,53.25,53.21,53.62,52.82,10.83M,0.60%,56.90133333,53.88609099,,,53.75,48.32443095,46.25,0
10-Feb-10,53.24,53.27,53.5,52.96,9.41M,-0.02%,56.84866667,53.78669237,55.65461538,-1.86792301,51.85185185,35.73825169,48.14814815,0
11-Feb-10,53.08,53.13,53.45,52.91,11.58M,-0.30%,56.79666667,53.67797047,55.46390313,-1.785932663,31.48148148,45.69444444,68.51851852,0
12-Feb-10,52.9,53.11,53.11,52.66,17.04M,-0.34%,56.79533333,53.55828271,55.27398438,-1.715701677,53.33333333,45.55555556,46.66666667,1
16-Feb-10,53.56,53.24,53.72,52.9,15.77M,1.25%,56.83666667,53.55854691,55.14702258,-1.588475672,80.48780488,55.10087323,19.51219512,1
17-Feb-10,54.06,53.69,54.25,53.65,15.53M,0.93%,56.91533333,53.63569354,55.06650239,-1.430808851,68.33333333,67.38482385,31.66666667,0
18-Feb-10,53.47,53.2,53.5,52.91,29.46M,-1.09%,56.906,53.61020222,54.94824295,-1.338040728,94.91525424,81.24546415,5.084745763,1
19-Feb-10,53.49,53.19,53.58,53.07,15.09M,0.04%,56.912,53.59170957,54.84022495,-1.248515381,82.35294118,81.86717625,17.64705882,1
22-Feb-10,53.83,53.52,53.92,53.34,12.10M,0.64%,56.99333333,53.62836964,54.76539348,-1.137023838,84.48275862,87.25031801,15.51724138,0
23-Feb-10,53.62,53.75,54.08,53.45,14.14M,-0.39%,57.006,53.627082,54.68054951,-1.053467513,26.98412698,64.60660893,73.01587302,1
24-Feb-10,53.92,53.74,53.95,53.48,10.62M,0.56%,57.03533333,53.67214631,54.62421251,-0.952066205,93.61702128,68.36130229,6.382978723,1
25-Feb-10,54.15,53.46,54.28,53.25,13.51M,0.43%,57.07933333,53.74566226,54.58908566,-0.843423399,87.37864078,69.32659635,12.62135922,0
26-Feb-10,54.07,54.22,54.24,53.5,15.95M,-0.15%,57.066,53.79556038,54.55063487,-0.755074496,77.02702703,86.00756303,22.97297297,0
1-Mar-10,53.9,54.04,54.13,53.54,12.13M,-0.31%,57.128,53.81162801,54.5024397,-0.690811686,61.01694915,75.14087232,38.98305085,0
2-Mar-10,53.59,53.83,53.89,53.47,14.08M,-0.58%,57.13733333,53.77753139,54.43485157,-0.657320177,28.57142857,55.53846825,71.42857143,1
3-Mar-10,53.66,53.35,53.75,53.15,11.63M,0.13%,57.186,53.75944964,54.37745516,-0.618005517,85,58.19612591,15,1
4-Mar-10,53.96,54.02,54.09,53.75,11.21M,0.56%,57.23333333,53.79030354,54.34653255,-0.556229011,61.76470588,58.44537815,38.23529412,1
