Date,Price,Open,High,Low,Vol.,Change %,trend
3-Jan-12,60.33,59.97,61.06,59.87,12.67M,0.95%,0
4-Jan-12,59.71,60.21,60.35,59.47,9.59M,-1.03%,0
5-Jan-12,59.42,59.35,59.62,58.37,12.77M,-0.49%,0
6-Jan-12,59,59.42,59.45,58.87,8.07M,-0.71%,1
9-Jan-12,59.18,59.03,59.55,58.92,6.68M,0.31%,0
10-Jan-12,59.04,59.43,59.71,58.98,6.91M,-0.24%,1
11-Jan-12,59.4,59.06,59.53,59.04,6.37M,0.61%,1
12-Jan-12,59.5,59.79,60,59.4,7.24M,0.17%,1
13-Jan-12,59.54,59.18,59.61,59.01,7.73M,0.07%,1
17-Jan-12,59.85,59.87,60.11,59.52,8.50M,0.52%,1
18-Jan-12,60.01,59.79,60.03,59.65,5.91M,0.27%,1
19-Jan-12,60.61,59.93,60.73,59.75,9.23M,1.00%,1
20-Jan-12,61.01,60.75,61.25,60.67,10.38M,0.66%,0
23-Jan-12,60.91,60.81,60.98,60.51,7.13M,-0.16%,1
24-Jan-12,61.39,60.75,62,60.75,7.37M,0.79%,1
25-Jan-12,61.47,61.18,61.61,61.04,5.92M,0.13%,0
26-Jan-12,60.97,61.8,61.84,60.77,7.44M,-0.81%,0
27-Jan-12,60.71,60.86,61.12,60.53,6.29M,-0.43%,1
30-Jan-12,61.3,60.47,61.32,60.35,7.64M,0.97%,1
31-Jan-12,61.36,61.53,61.57,60.58,9.76M,0.10%,1
1-Feb-12,62.18,61.79,62.63,61.79,12.13M,1.34%,0
2-Feb-12,61.94,62.4,62.47,61.82,6.21M,-0.39%,1
3-Feb-12,62.03,62.32,62.43,61.7,7.73M,0.15%,0
6-Feb-12,61.88,61.85,61.98,61.7,5.48M,-0.24%,0
7-Feb-12,61.69,61.62,61.9,61.62,6.09M,-0.31%,0
8-Feb-12,61.62,61.91,62.02,61.23,7.27M,-0.11%,1
9-Feb-12,61.96,61.58,62.16,61.58,6.45M,0.55%,0
10-Feb-12,61.9,61.68,61.91,61.38,5.50M,-0.10%,0
13-Feb-12,61.79,62.01,62.08,61.73,4.17M,-0.18%,1
14-Feb-12,62.22,61.91,62.24,61.79,5.17M,0.70%,0
15-Feb-12,61.76,62.32,62.44,61.59,5.83M,-0.74%,1
16-Feb-12,62.04,61.77,62.19,61.7,7.26M,0.45%,1
17-Feb-12,62.48,62.32,62.57,61.91,8.19M,0.71%,0
21-Feb-12,60.07,60.33,60.5,59.67,23.90M,-3.86%,0
22-Feb-12,58.6,59.58,59.91,58.37,28.63M,-2.45%,0
23-Feb-12,58.54,58.59,58.9,58.21,14.88M,-0.10%,1
24-Feb-12,58.79,58.75,58.95,58.5,9.93M,0.43%,0
27-Feb-12,58.46,58.7,58.78,58.29,12.26M,-0.56%,1
28-Feb-12,58.93,58.44,59.1,58.35,10.76M,0.80%,1
29-Feb-12,59.08,58.84,59.33,58.72,11.49M,0.25%,0
1-Mar-12,58.82,59.36,59.42,58.64,16.29M,-0.44%,1
2-Mar-12,59.01,58.99,59.28,58.8,9.86M,0.32%,1
5-Mar-12,59.4,58.96,59.59,58.75,9.65M,0.66%,0
6-Mar-12,58.97,59.04,59.22,58.75,9.06M,-0.72%,1
7-Mar-12,59.86,59.11,59.86,59.11,14.92M,1.51%,0
8-Mar-12,59.77,59.84,59.95,59.45,7.80M,-0.15%,1
9-Mar-12,60.08,59.83,60.2,59.83,6.29M,0.52%,1
12-Mar-12,60.68,60.17,60.9,60.09,7.58M,1.00%,1
13-Mar-12,61,60.93,61.08,60.52,8.73M,0.53%,1
14-Mar-12,61.08,60.84,61.15,60.69,6.37M,0.13%,1
15-Mar-12,61.23,60.89,61.26,60.78,6.76M,0.25%,0
16-Mar-12,60.84,61.41,61.47,60.77,12.08M,-0.64%,0
19-Mar-12,60.74,60.58,60.88,60.46,8.25M,-0.16%,0
20-Mar-12,60.6,60.33,60.86,60.29,7.91M,-0.23%,0
21-Mar-12,60.56,60.45,60.72,60.37,7.30M,-0.07%,1
22-Mar-12,60.65,60.23,60.77,60.23,5.71M,0.15%,1
23-Mar-12,60.75,60.61,60.85,60.41,6.96M,0.16%,1
26-Mar-12,61.2,60.9,61.32,60.76,6.21M,0.74%,0
27-Mar-12,61.09,61.35,61.5,61.02,7.35M,-0.18%,1
28-Mar-12,61.19,61.15,61.48,60.98,7.12M,0.16%,0
29-Mar-12,60.82,60.77,60.95,60.62,6.69M,-0.60%,1
30-Mar-12,61.2,61.07,61.42,60.92,6.94M,0.62%,1
2-Apr-12,61.36,61.08,61.49,60.97,6.47M,0.26%,0
3-Apr-12,60.65,61.14,61.41,60.24,11.18M,-1.16%,0
4-Apr-12,60.26,60.53,60.59,60.02,10.85M,-0.64%,1
5-Apr-12,60.67,60.2,60.69,60.07,6.53M,0.68%,0
9-Apr-12,60.13,60.22,60.34,60.08,6.84M,-0.89%,0
