Date,Price,Open,High,Low,Vol.,Change %,CP,EMA12,EMA26,MACD,K,D,R,trend
2-Jan-19,93.34,91.64,93.65,91.64,8.15M,0.20%,,,,,,,,0
3-Jan-19,92.86,93.21,94.71,92.7,8.28M,-0.51%,,,,,,,,1
4-Jan-19,93.44,93.21,93.66,92.69,8.03M,0.62%,,,,,,,,1
7-Jan-19,94.54,93.62,95.17,93.18,7.79M,1.18%,,,,,,,,1
8-Jan-19,95.2,95.06,95.75,93.91,7.20M,0.70%,,,,,,,,0
9-Jan-19,94.89,95.71,96.14,94.77,6.27M,-0.33%,,,,,,,,1
10-Jan-19,94.96,93.88,94.98,93.12,9.40M,0.07%,,,,,,,,0
11-Jan-19,94.84,94.99,95.29,94.55,5.39M,-0.13%,,,,,,,,1
14-Jan-19,94.95,94.48,95.45,94.28,7.09M,0.12%,,,,,,,,1
15-Jan-19,96.25,95.47,96.6,95.38,7.06M,1.37%,,,,,,,,1
16-Jan-19,96.35,95.93,96.86,95.83,5.41M,0.10%,,,,,,,,1
17-Jan-19,96.74,96.32,97.21,96.16,5.61M,0.40%,,,,,,,,1
18-Jan-19,97.73,96.95,98.2,96.85,6.12M,1.02%,,103.0075,,,,,,0
22-Jan-19,97.49,97.15,98.43,96.78,8.06M,-0.25%,,102.1586538,,,,,,1
23-Jan-19,98.71,98.87,99.35,97.53,8.35M,1.25%,,101.6280917,,,,,,0
24-Jan-19,98.36,98.2,98.46,96.43,7.61M,-0.35%,102.0433333,101.1253084,,,95.07389163,,4.926108374,0
25-Jan-19,96.94,98.75,98.91,96.75,7.22M,-1.44%,102.2833333,100.4814148,,,8.796296296,,91.2037037,1
28-Jan-19,97.06,96.53,97.07,96.08,5.88M,0.12%,102.5633333,99.95504327,,,98.98989899,67.62002897,1.01010101,0
29-Jan-19,96.71,96.77,97.16,96.51,5.25M,-0.36%,102.7813333,99.45580585,,,30.76923077,46.18514202,69.23076923,0
30-Jan-19,94.8,96.68,96.8,94.26,11.85M,-1.97%,102.7986667,98.73952802,,,21.25984252,50.33965743,78.74015748,1
31-Jan-19,95.83,94.63,96.87,94.63,14.72M,1.09%,102.8406667,98.29190833,,,53.57142857,35.20016729,46.42857143,0
