Date,Price,Open,High,Low,Vol.,Change %,moving average,EMA,EMA(12),EMA(26),MACD,K,D,R,trend
18-Nov-09,158.2,170.1,170.2,158,2.73M,-7.54%,158.2,158.2,158.2,158.2,0,0,0,0,0
19-Nov-09,164,158.1,167.9,152,1.63M,3.67%,161.6,158.925,158.925,158.925,0,65.93406593,32.96703297,34.06593407,1
22-Nov-09,165.7,167,168.9,163,872.40K,1.04%,162.9666667,159.771875,159.771875,159.771875,0,75.27472527,47.06959707,24.72527473,1
23-Nov-09,168.5,164.1,170,164.1,1.09M,1.69%,164.35,160.8628906,160.8628906,160.8628906,0,90.65934066,77.28937729,9.340659341,1
24-Nov-09,174.8,170,177,168.8,1.32M,3.74%,166.44,162.6050293,162.6050293,162.6050293,0,91.2,85.71135531,8.8,1
25-Nov-09,179.3,175.9,180,175.9,1.23M,2.57%,168.5833333,164.6919006,164.6919006,164.6919006,0,97.5,93.11978022,2.5,1
26-Nov-09,180,180,182,178,1.13M,0.39%,170.2142857,166.6054131,166.6054131,166.6054131,0,93.33333333,94.01111111,6.666666667,1
1-Dec-09,177.3,182,182.9,177,1.11M,-1.50%,171.1,167.9422364,167.9422364,167.9422364,0,81.87702265,90.903452,18.12297735,0
2-Dec-09,174.7,177.1,177.5,174.2,921.60K,-1.47%,171.5,168.7869569,168.7869569,168.7869569,0,73.46278317,82.89104639,26.53721683,0
3-Dec-09,173.6,174.4,175.4,172.4,773.20K,-0.63%,171.71,169.3885873,169.3885873,169.3885873,0,69.90291262,75.08090615,30.09708738,0
6-Dec-09,171.8,175,176,171.5,796.20K,-1.04%,171.7181818,169.6900139,169.6900139,169.6900139,0,64.0776699,69.14778857,35.9223301,0
7-Dec-09,170.1,172,173.8,170,752.80K,-0.99%,171.5833333,169.7412621,158.2,158.2,0,58.57605178,64.18554477,41.42394822,0
8-Dec-09,169.4,170,171.2,168.6,555.00K,-0.41%,171.4153846,169.6986044,158.925,158.925,0,56.31067961,59.65480043,43.68932039,0
9-Dec-09,170.7,171.9,173.9,169,718.20K,0.77%,171.3642857,169.8237788,159.771875,159.771875,0,60.51779935,58.46817691,39.48220065,1
10-Dec-09,169.2,170.6,172,167.8,924.40K,-0.88%,171.22,169.7458065,160.8628906,160.8628906,0,55.66343042,57.49730313,44.33656958,0
13-Dec-09,171.6,170,173,168,813.60K,1.42%,172.1133333,169.9775807,162.6050293,162.6050293,0,63.43042071,59.87055016,36.56957929,1
14-Dec-09,176,172,178.2,172,1.00M,2.56%,172.9133333,170.7303831,164.6919006,164.6919006,0,65.32663317,61.47349477,34.67336683,1
15-Dec-09,172.8,175.5,179,172.3,745.00K,-1.82%,173.3866667,170.9890852,166.6054131,166.6054131,0,46.27659574,58.34454987,53.72340426,0
17-Dec-09,171.1,174,174,170.5,424.40K,-0.98%,173.56,171.0029495,167.9422364,167.9422364,0,21.85430464,44.48584452,78.14569536,0
20-Dec-09,170.1,171,171.9,170,626.40K,-0.58%,173.2466667,170.8900808,168.7869569,168.7869569,0,15.23178808,27.78756282,84.76821192,0
21-Dec-09,170.8,171.9,171.9,169.7,550.00K,0.41%,172.68,170.8788207,169.3885873,169.3885873,0,19.86754967,18.98454746,80.13245033,1
22-Dec-09,176.7,171,178,171,1.07M,3.45%,172.46,171.6064681,169.6900139,169.6900139,0,58.94039735,31.34657837,41.05960265,1
23-Dec-09,180.2,178.3,181.4,177,1.78M,1.98%,172.6533333,172.6806596,169.7412621,169.7412621,0,91.17647059,56.66147254,8.823529412,1
24-Dec-09,182.5,181,183.8,179.4,1.58M,1.28%,173.1733333,173.9080772,169.6986044,169.6986044,0,91.875,80.66395598,8.125,1
27-Dec-09,189.7,183.9,190,183.5,1.86M,3.95%,174.2466667,175.8820675,169.8237788,158.2,11.62377881,98.64864865,93.90003975,1.351351351,1
29-Dec-09,188.6,190,194.9,188.2,1.42M,-0.58%,175.3666667,177.4718091,169.7458065,158.925,10.82080646,76.75276753,89.09213873,23.24723247,0
30-Dec-09,187.5,189.5,190,186.4,1.44M,-0.58%,176.5266667,178.725333,169.9775807,159.771875,10.20570565,72.69372694,82.69838104,27.30627306,0
3-Jan-10,189.3,187,192.3,187,962.20K,0.96%,177.8533333,180.0471663,170.7303831,160.8628906,9.867492447,79.33579336,76.26076261,20.66420664,1
4-Jan-10,197.9,190,198.9,190,2.75M,4.54%,179.6666667,182.2787705,170.9890852,162.6050293,8.384055891,96.78456592,82.93802874,3.215434084,1
