Date,Price,Open,High,Low,Vol.,Change %
3-Jan-10,189.3,187,192.3,187,962.20K,0.96%
4-Jan-10,197.9,190,198.9,190,2.75M,4.54%
5-Jan-10,196.5,199,202,195.2,2.06M,-0.71%
6-Jan-10,196.4,196,197.8,195,1.44M,-0.05%
7-Jan-10,193.8,197,197,193.5,1.26M,-1.32%
10-Jan-10,192.3,193.9,194.4,190.2,1.61M,-0.77%
11-Jan-10,196.8,193.9,197.4,192.8,1.78M,2.34%
12-Jan-10,206,197.4,207,197.4,5.31M,4.67%
13-Jan-10,201.2,206.5,209,197.6,2.95M,-2.33%
14-Jan-10,211.7,203,213.9,203,3.51M,5.22%
17-Jan-10,211,214,215,210.2,3.13M,-0.33%
18-Jan-10,219.5,212.5,219.9,209.2,3.35M,4.03%
19-Jan-10,224.4,220,225.8,219.5,3.61M,2.23%
20-Jan-10,226.9,226.9,227.9,222.5,2.60M,1.11%
21-Jan-10,244.4,227.7,244.9,227.5,5.07M,7.71%
24-Jan-10,252.6,244.9,254.9,236,4.00M,3.36%
25-Jan-10,278.4,255,288,251,4.68M,10.21%
26-Jan-10,255,275,275,238.5,4.56M,-8.41%
27-Jan-10,259,259.9,264,250,2.22M,1.57%
28-Jan-10,272.1,262,275,259,2.76M,5.06%
31-Jan-10,266.9,273,274.9,265,2.33M,-1.91%
1-Feb-10,279.4,265.2,280,265.2,3.57M,4.68%
2-Feb-10,286.8,275.5,290,270,2.83M,2.65%
3-Feb-10,287.3,290,300,285.1,4.04M,0.17%
4-Feb-10,290.9,285,296,282.5,3.09M,1.25%
7-Feb-10,292.6,291,296.9,290,1.58M,0.58%
8-Feb-10,310.6,294.5,312,294.1,5.38M,6.15%
9-Feb-10,319.6,303,324.9,297,5.67M,2.90%
10-Feb-10,314,323,323,310,1.62M,-1.75%
11-Feb-10,312,312,316.1,300.1,1.97M,-0.64%
14-Feb-10,333.9,312.1,337.5,308.8,1.92M,7.02%
15-Feb-10,344.3,336,352.8,336,2.62M,3.11%
16-Feb-10,360.4,345,365,342.2,1.96M,4.68%
17-Feb-10,385.4,368,395,364.5,2.97M,6.94%
18-Feb-10,361.2,380.1,380.1,350,2.61M,-6.28%
22-Feb-10,332.6,361,361,310,1.21M,-7.92%
23-Feb-10,341.8,332,345,323.1,1.36M,2.77%
24-Feb-10,366.5,346.9,368.8,346.9,1.52M,7.23%
25-Feb-10,369.3,369,380,366,1.50M,0.76%
28-Feb-10,355.3,374.8,374.8,353.5,1.51M,-3.79%
1-Mar-10,361.8,355,365,350,1.25M,1.83%
2-Mar-10,363.4,368,368,360,714.60K,0.44%
3-Mar-10,358.9,367.8,369,357.1,1.02M,-1.24%
4-Mar-10,359.8,357.6,362,352,885.20K,0.25%
7-Mar-10,351.9,362,364,349.5,1.16M,-2.20%
8-Mar-10,337.6,350,351,334.1,1.67M,-4.06%
9-Mar-10,324.5,338,342.9,322.5,1.54M,-3.88%
10-Mar-10,339.4,324.1,342,322.2,1.21M,4.59%
11-Mar-10,339.8,344,347.3,337.1,728.80K,0.12%
14-Mar-10,326.8,342,342,324.5,1.22M,-3.83%
15-Mar-10,323,326,326,304.1,1.58M,-1.16%
16-Mar-10,327.9,329,334,325.1,1.65M,1.52%
18-Mar-10,314.3,331,331,310.1,2.40M,-4.15%
21-Mar-10,341.8,312,345,306.8,3.04M,8.75%
22-Mar-10,338.4,344,348.9,337,1.50M,-0.99%
23-Mar-10,339.6,339,349,337.3,2.73M,0.35%
24-Mar-10,356.9,345,360,345,3.93M,5.09%
25-Mar-10,358.6,359.9,364,353.3,2.56M,0.48%
28-Mar-10,354.5,355,361.8,353.5,1.83M,-1.14%
29-Mar-10,353.8,356,357,348.8,2.10M,-0.20%
30-Mar-10,355.3,357.9,360,354,1.61M,0.42%
31-Mar-10,362.2,355,363,353.5,3.22M,1.94%
1-Apr-10,363.9,363,365.9,362.6,1.43M,0.47%
4-Apr-10,367.5,365.8,369.8,364.1,2.53M,0.99%
6-Apr-10,362.4,372,373.9,361.6,2.78M,-1.39%
7-Apr-10,359.2,361,363.9,354.6,2.19M,-0.88%
11-Apr-10,355.7,362,362,353.7,1.29M,-0.97%
12-Apr-10,353,358.5,358.5,352.6,713.00K,-0.76%
13-Apr-10,346.5,352.5,354.5,344.5,1.13M,-1.84%
15-Apr-10,334.4,342.5,344,333,1.70M,-3.49%
18-Apr-10,327.2,330,334,321,1.45M,-2.15%
19-Apr-10,333,325,336,325,1.21M,1.77%
20-Apr-10,343.5,338,345.2,336.1,1.17M,3.15%
21-Apr-10,339,347,349.3,336.9,1.18M,-1.31%
22-Apr-10,336.5,338,342,336,654.60K,-0.74%
25-Apr-10,328,335,336.9,326.9,1.27M,-2.53%
26-Apr-10,329.6,332.8,333.9,327.2,758.60K,0.49%
27-Apr-10,328.1,328.7,332,327.5,648.80K,-0.46%
29-Apr-10,324.7,324,331.8,322.1,714.60K,-1.04%
2-May-10,316.7,325,326,315,958.40K,-2.46%
3-May-10,311.8,315,317,305.5,946.40K,-1.55%
4-May-10,294,310.1,310.1,292,2.04M,-5.71%
5-May-10,295.4,295,303.6,292,1.18M,0.48%
6-May-10,297.3,299.7,302,296.1,487.20K,0.64%
9-May-10,279.2,299.9,299.9,276.5,1.45M,-6.09%
10-May-10,265.3,280,280,264.5,1.56M,-4.98%
11-May-10,287.2,265,289.9,265,1.50M,8.25%
12-May-10,291,293.9,299,288,1.21M,1.32%
13-May-10,284.6,295,295,284,592.00K,-2.20%
16-May-10,277.2,279,285,276,698.60K,-2.60%
17-May-10,278,278.3,285,276.5,699.20K,0.29%
18-May-10,281.5,284.5,285,278.5,632.60K,1.26%
19-May-10,280.8,285.9,289,280.1,690.00K,-0.25%
20-May-10,280.7,281.1,284.5,279.8,617.00K,-0.04%
23-May-10,296.2,284.9,298,281,1.48M,5.52%
24-May-10,290.7,298.9,303,287.1,927.80K,-1.86%
25-May-10,284.3,292,292,282,703.60K,-2.20%
26-May-10,282.2,289,289.8,279.5,563.40K,-0.74%
30-May-10,276.7,280,282,275,668.20K,-1.95%
31-May-10,276.4,278,279.3,275.3,422.20K,-0.11%
1-Jun-10,281.1,276.6,284.5,275.6,489.80K,1.70%
2-Jun-10,278.8,284.9,285,278.2,353.60K,-0.82%
3-Jun-10,278.6,278.1,281.8,278,290.20K,-0.07%
6-Jun-10,277.4,281,281,277,391.20K,-0.43%
7-Jun-10,272.7,277,278.7,270,445.80K,-1.69%
8-Jun-10,273.6,275,276.7,272.8,384.20K,0.33%
9-Jun-10,270.4,274.5,276.9,270,390.80K,-1.17%
10-Jun-10,268.3,270,270,264.6,737.60K,-0.78%
13-Jun-10,262.1,270,270,261.1,574.40K,-2.31%
14-Jun-10,258.4,263,264.8,252.1,821.40K,-1.41%
15-Jun-10,253.6,262,262,252.8,709.60K,-1.86%
16-Jun-10,253.3,255,255,244,898.20K,-0.12%
17-Jun-10,261.5,254,263.8,250.1,711.40K,3.24%
20-Jun-10,266.1,264,270,261,942.00K,1.76%
21-Jun-10,259.2,268.5,268.8,258,423.00K,-2.59%
22-Jun-10,257.7,260.7,264.9,256.3,414.60K,-0.58%
23-Jun-10,253.4,256.5,260.7,252.9,474.60K,-1.67%
24-Jun-10,252.5,255,256,249.5,470.00K,-0.36%
27-Jun-10,247.9,249.6,253.5,247,395.20K,-1.82%
28-Jun-10,247.1,250,251.7,245.2,724.40K,-0.32%
29-Jun-10,245.8,250,250,245,646.20K,-0.53%
30-Jun-10,235.7,245,245,233.5,594.60K,-4.11%
4-Jul-10,223.7,231.5,238,222.3,656.40K,-5.09%
5-Jul-10,236.6,221.5,238.5,221.5,539.20K,5.77%
6-Jul-10,242.5,239.9,244.4,238,517.40K,2.49%
7-Jul-10,242.4,241.3,244.8,238.1,392.20K,-0.04%
8-Jul-10,239.6,242.2,244,238,285.00K,-1.16%
11-Jul-10,235.7,239,241,234.2,262.00K,-1.63%
12-Jul-10,232.4,235,237,231.1,208.80K,-1.40%
13-Jul-10,237.3,234.3,240.9,232,316.80K,2.11%
14-Jul-10,238.3,240.9,244.9,236.7,428.80K,0.42%
15-Jul-10,241.5,240,242.5,236,471.80K,1.34%
18-Jul-10,255.7,245,258.4,235,1.10M,5.88%
19-Jul-10,257.3,258.5,264,254.5,858.00K,0.63%
20-Jul-10,250.8,258.8,258.8,249,399.60K,-2.53%
21-Jul-10,246.6,251,253.8,245.1,437.40K,-1.67%
22-Jul-10,246.4,245,250.9,243.3,427.40K,-0.08%
25-Jul-10,245.3,249,249.6,244.6,308.80K,-0.45%
26-Jul-10,250.9,245.8,254.8,245.8,470.80K,2.28%
27-Jul-10,254,254,260,253.1,534.20K,1.24%
29-Jul-10,258.4,255.7,260,255.3,522.40K,1.73%
1-Aug-10,269.9,260,272.4,260,1.18M,4.45%
2-Aug-10,273.3,272.9,277.2,270,1.12M,1.26%
3-Aug-10,273.2,275,278,271.6,994.20K,-0.04%
4-Aug-10,263.1,274.9,274.9,261.6,932.40K,-3.70%
5-Aug-10,258.6,262.1,263.7,257,524.20K,-1.71%
8-Aug-10,256.9,263,263,255.1,448.00K,-0.66%
9-Aug-10,253.2,255.1,258,252,428.00K,-1.44%
10-Aug-10,258.6,253.1,260,253,377.20K,2.13%
11-Aug-10,257.4,258,262,257,298.00K,-0.46%
12-Aug-10,258.7,254,260,254,258.80K,0.51%
16-Aug-10,259.4,255.1,263,255,442.40K,0.27%
17-Aug-10,264.7,263,266.8,263,474.80K,2.04%
18-Aug-10,270.2,266.5,275,265.3,1.07M,2.08%
19-Aug-10,265.6,274,274,265,506.80K,-1.70%
22-Aug-10,266.4,269.9,270,264.2,424.80K,0.30%
23-Aug-10,262.5,266,266,261.5,465.20K,-1.46%
24-Aug-10,260,263,265,259.1,444.00K,-0.95%
25-Aug-10,258.7,256,262.8,255,319.60K,-0.50%
26-Aug-10,257.8,260,262,257,258.60K,-0.35%
29-Aug-10,256.2,257,259.7,255.1,265.00K,-0.62%
30-Aug-10,255.1,259.3,259.8,254.5,348.60K,-0.43%
31-Aug-10,255.5,255,257,253.5,350.20K,0.16%
2-Sep-10,259.6,258.9,262.5,255,359.20K,1.60%
5-Sep-10,258,260,263,257.7,281.40K,-0.62%
6-Sep-10,255.6,260,260,254,342.40K,-0.93%
8-Sep-10,252.5,256,257,251.9,362.40K,-1.21%
13-Sep-10,250.7,251,253,248.5,230.40K,-0.71%
14-Sep-10,253.3,252,256.9,251.1,270.20K,1.04%
15-Sep-10,250.2,254,254.9,249.6,309.80K,-1.22%
16-Sep-10,247.6,250.8,251.7,246,335.20K,-1.04%
19-Sep-10,245.5,250,250,242.5,383.20K,-0.85%
20-Sep-10,246.3,247.6,249,243.1,385.00K,0.33%
21-Sep-10,248,248,250.8,245.3,285.60K,0.69%
22-Sep-10,246.9,247.5,248.5,246.7,351.40K,-0.44%
23-Sep-10,246.5,247.5,247.8,245.8,359.40K,-0.16%
26-Sep-10,243.2,250,250,241.1,574.80K,-1.34%
27-Sep-10,239.8,245,245.4,238.1,688.40K,-1.40%
28-Sep-10,241.8,243.9,244,240.2,328.80K,0.83%
