Date,Price,Open,High,Low,Vol.,Change %,moving average,EMA,EMA(12),EMA(26),MACD,K,D,R,trend,sentiment
1-Jan-19,253.7,255,255.4,253.1,164.20K,-0.20%,251.5333333,252.3375872,255.0621105,247.8241809,7.2379296,64.0776699,54.08616593,35.9223301,0,0.5
2-Jan-19,253.3,254,255,252,449.72K,-0.16%,251.5133333,252.4578888,254.2043467,248.9024083,5.3019384,74.69879518,63.78968589,25.30120482,0,0.5
3-Jan-19,254.8,254,255.7,252.9,446.55K,0.59%,251.5533333,252.7506527,253.4163034,250.2896073,3.1266961,89.53488372,76.10378293,10.46511628,1,0.5
6-Jan-19,257.9,255,258.9,254.9,344.77K,1.22%,251.7866667,253.3943211,253.0767654,251.1646564,1.912109087,91.52542373,85.25303421,8.474576271,1,0.5
7-Jan-19,256.8,258.8,259.4,255.6,450.18K,-0.43%,252.1266667,253.820031,252.7921698,251.8365743,0.955595452,78.86178862,86.64069869,21.13821138,0,0.5
8-Jan-19,258.9,257,260.1,256.8,338.93K,0.82%,252.84,254.4550271,252.2306485,252.6195025,-0.38885398,90.76923077,87.05214771,9.230769231,1,0.5
9-Jan-19,261.8,259.9,262.5,259.8,674.93K,1.12%,253.7666667,255.3731487,251.7893175,253.9795647,-2.190247232,95.27027027,88.30042989,4.72972973,1,0.5
10-Jan-19,262.7,262.9,264,261.3,398.04K,0.34%,254.5666667,256.2890051,251.6906528,254.9071191,-3.216466328,92.02453988,92.68801364,7.975460123,1,0.5
13-Jan-19,263.2,263.2,263.9,262.4,276.54K,0.19%,255.3933333,257.1528795,251.6418212,255.5437292,-3.901908037,95.09202454,94.1289449,4.90797546,1,0.5
14-Jan-19,261.8,263.8,263.8,261.4,438.59K,-0.53%,256.2933333,257.7337696,251.8490935,256.0882631,-4.239169533,86.50306748,91.20654397,13.49693252,0,0.5
15-Jan-19,264.1,262.1,264.9,262.1,533.27K,0.88%,257.32,258.5295484,252.1429569,256.2522302,-4.109273341,95.34883721,92.31464308,4.651162791,1,0.5
16-Jan-19,265.3,263.9,268,263,553.83K,0.45%,258.2733333,259.3758548,252.3375872,255.9207014,-3.583114173,84.48275862,88.7782211,15.51724138,1,0.5
17-Jan-19,264,265.3,265.5,263.5,355.14K,-0.49%,259.12,259.953873,252.4578888,255.7056137,-3.247724902,76.47058824,85.43406136,23.52941176,0,0
20-Jan-19,262.4,264,264.8,262.1,178.89K,-0.61%,259.7266667,260.2596388,252.7506527,255.542412,-2.791759289,65,75.31778229,35,0,0.5
21-Jan-19,263.8,262.5,264.5,262.3,918.03K,0.53%,260.3666667,260.702184,253.3943211,255.0621105,-1.667789378,73.75,71.74019608,26.25,1,0.5
22-Jan-19,267.8,264.7,269.8,264.3,1.11M,1.52%,261.3066667,261.589411,253.820031,254.2043467,-0.384315706,88.76404494,75.83801498,11.23595506,1,0.5
23-Jan-19,267.1,267.7,268.9,266,402.95K,-0.26%,262.2266667,262.2782346,254.4550271,253.4163034,1.038723758,84.02366864,82.17923786,15.97633136,0,0.5
24-Jan-19,265,268,268,264.4,529.88K,-0.79%,262.9066667,262.6184553,255.3731487,253.0767654,2.296383288,67.7852349,80.19098283,32.2147651,0,0.5
27-Jan-19,269.3,266.8,269.9,266.1,405.30K,1.62%,263.6666667,263.4536484,256.2890051,252.7921698,3.496835377,95.8041958,82.53769978,4.195804196,1,0.5
28-Jan-19,271.7,269.3,272.7,267.6,1.05M,0.89%,264.66,264.4844423,257.1528795,252.2306485,4.922230955,93.71069182,85.76670751,6.289308176,1,0.5
29-Jan-19,272.6,272.6,273.1,271.7,564.74K,0.33%,265.5733333,265.498887,257.7337696,251.7893175,5.944452085,96.2406015,95.25182971,3.759398496,1,1
30-Jan-19,266.8,273,273,264.9,457.22K,-2.13%,265.9066667,265.6615262,258.5295484,251.6906528,6.838895575,46.61016949,78.85382094,53.38983051,0,0.5
31-Jan-19,263.3,267.2,268.4,262.6,448.23K,-1.31%,265.9466667,265.3663354,259.3758548,251.6418212,7.734033628,16.23931624,53.03002908,83.76068376,0,0.5
3-Feb-19,266.7,263.7,267.4,262.9,279.77K,1.29%,266.18,265.5330435,259.953873,251.8490935,8.104779424,45.2991453,36.04954368,54.7008547,1,0.5
4-Feb-19,267.2,266,268.8,264,299.33K,0.19%,266.54,265.741413,260.2596388,252.1429569,8.116681996,46.36363636,35.96736597,53.63636364,1,0
5-Feb-19,266.5,268,268,265.5,240.86K,-0.26%,266.7,265.8362364,260.702184,252.3375872,8.364596747,40,43.88759389,60,0,0.5
6-Feb-19,264,267,269.8,263.2,567.72K,-0.94%,266.6133333,265.6067069,261.589411,252.4578888,9.131522153,17.27272727,34.54545455,82.72727273,0,1
7-Feb-19,267,264.2,268,263.5,370.72K,1.14%,266.8133333,265.7808685,262.2782346,252.7506527,9.527581884,44.54545455,33.93939394,55.45454545,1,0.5
10-Feb-19,266.9,266,268.6,265.3,252.55K,-0.04%,267.1133333,265.9207599,262.6184553,253.3943211,9.224134149,42.59259259,34.80359147,57.40740741,0,0.5
11-Feb-19,265.7,266,267.7,264.7,293.91K,-0.45%,267.24,265.8931649,263.4536484,253.820031,9.63361738,29.52380952,38.88728555,70.47619048,0,0.5
12-Feb-19,265.7,264.2,266.9,264.2,364.10K,0.00%,267.1,265.8690193,264.4844423,254.4550271,10.02941521,29.52380952,33.88007055,70.47619048,0,1
13-Feb-19,264.7,266.9,266.9,264.1,222.03K,-0.38%,266.94,265.7228919,265.498887,255.3731487,10.12573831,20,26.34920635,80,0,0
14-Feb-19,264,264.5,265.9,263.4,439.28K,-0.26%,266.8733333,265.5075304,265.6615262,256.2890051,9.372521018,13.33333333,20.95238095,86.66666667,0,0.5
17-Feb-19,264,265,265,263.7,300.38K,0.00%,266.52,265.3190891,265.3663354,257.1528795,8.213455891,13.33333333,15.55555556,86.66666667,0,0.5
18-Feb-19,266,264,266.5,264,625.97K,0.76%,266.14,265.404203,265.5330435,257.7337696,7.799273905,32.38095238,19.68253968,67.61904762,1,0.5
19-Feb-19,268.4,266,269.9,265,807.50K,0.90%,265.86,265.7786776,265.741413,258.5295484,7.211864667,55.76923077,33.82783883,44.23076923,1,0.5
20-Feb-19,269.9,269,270.7,267.8,1.62M,0.56%,266.0666667,266.2938429,265.8362364,259.3758548,6.460381583,90.12345679,59.42454665,9.87654321,1,0.5
24-Feb-19,270.9,270,271.6,267.1,410.36K,0.37%,266.5733333,266.8696125,265.6067069,259.953873,5.652833885,91.95402299,79.28223685,8.045977011,1,0.5
25-Feb-19,274.1,271,274.3,271,1.65M,1.18%,267.0666667,267.773411,265.7808685,260.2596388,5.52122965,98.1981982,93.42522599,1.801801802,1,0.5
26-Feb-19,276.1,274.1,277.3,274.1,1.45M,0.73%,267.66,268.8142346,265.9207599,260.702184,5.218575943,91.4893617,93.88052763,8.510638298,1,0.5
27-Feb-19,273.8,276.2,276.2,272.3,573.65K,-0.83%,268.1466667,269.4374553,265.8931649,261.589411,4.303753951,75.17730496,88.28828829,24.82269504,0,0.5
3-Mar-19,272.6,273.8,273.8,270.1,336.51K,-0.44%,268.72,269.8327734,265.8690193,262.2782346,3.590784707,66.18705036,77.61790568,33.81294964,0,0.5
4-Mar-19,270.1,272.6,272.6,269,1.18M,-0.92%,268.9266667,269.8661767,265.7228919,262.6184553,3.104436618,48.20143885,63.18859806,51.79856115,0,0.5
5-Mar-19,268.1,270.1,270.2,266.3,686.46K,-0.74%,269.0066667,269.6454046,265.5075304,263.4536484,2.053882041,33.81294964,49.40047962,66.18705036,0,0.5
6-Mar-19,266.7,267.1,268.9,266.2,541.03K,-0.52%,269.0733333,269.277229,265.3190891,264.4844423,0.834646786,23.74100719,35.25179856,76.25899281,0,0.5
7-Mar-19,267.7,266.7,270,266.7,232.99K,0.37%,269.2066667,269.0800754,265.404203,265.498887,-0.094684062,30.9352518,29.49640288,69.0647482,1,0.5
10-Mar-19,269.6,268.1,270,267.8,195.94K,0.71%,269.5333333,269.145066,265.7786776,265.6615262,0.117151445,44.60431655,33.09352518,55.39568345,1,0.5
11-Mar-19,268,272,272,267,209.65K,-0.59%,269.8,269.0019327,266.2938429,265.3663354,0.927507515,31.61764706,35.7190718,68.38235294,0,0.5
