Date,Price,Open,High,Low,Vol.,Change %
1-Jan-19,368.3,370,376,363,94.88K,0.27%
2-Jan-19,365.6,368,368,364.5,67.02K,-0.73%
3-Jan-19,365.4,365,368.7,364.2,136.49K,-0.05%
6-Jan-19,373,367.7,373.5,367.7,129.68K,2.08%
7-Jan-19,372.1,375,376,371.3,474.94K,-0.24%
8-Jan-19,379.7,374,381.6,374,383.68K,2.04%
9-Jan-19,382.7,382,383.5,379.3,404.45K,0.79%
10-Jan-19,388.9,383.2,390,383.2,306.94K,1.62%
13-Jan-19,389.9,390,395,388,247.26K,0.26%
14-Jan-19,389.3,391,391,387.4,332.46K,-0.15%
15-Jan-19,387.1,390,390,384,132.04K,-0.57%
16-Jan-19,382.6,387.1,387.1,379.5,171.93K,-1.16%
17-Jan-19,375.1,382,382.1,374.4,187.59K,-1.96%
20-Jan-19,385.2,375,388,372,114.96K,2.69%
21-Jan-19,384.6,387,390.8,383.1,174.83K,-0.16%
22-Jan-19,388.9,384,390.9,384,250.42K,1.12%
23-Jan-19,391.5,391,395,388,323.92K,0.67%
24-Jan-19,395.5,391.3,396.9,391.3,317.12K,1.02%
27-Jan-19,393.6,397,400,390.3,314.40K,-0.48%
28-Jan-19,409.5,398,410.4,395.5,1.11M,4.04%
29-Jan-19,415.4,411,419.9,411,614.76K,1.44%
30-Jan-19,413.8,414.4,417.9,408.9,562.26K,-0.39%
31-Jan-19,398.2,414,414,393.2,690.31K,-3.77%
3-Feb-19,394,398.2,398.2,391.5,665.44K,-1.05%
4-Feb-19,402,396,407.7,395,386.44K,2.03%
5-Feb-19,403.5,403,405,398,255.64K,0.37%
6-Feb-19,404.9,403.6,407.8,403.2,300.28K,0.35%
7-Feb-19,405.5,407,409,403,274.10K,0.15%
10-Feb-19,406.1,405.7,412.5,405.1,269.31K,0.15%
11-Feb-19,397.6,405,405,395.6,349.72K,-2.09%
12-Feb-19,388.6,397,400,385.4,465.84K,-2.26%
13-Feb-19,392.9,388,394,384.3,326.75K,1.11%
14-Feb-19,389.9,395,397.9,386.5,298.18K,-0.76%
17-Feb-19,389.9,389.9,389.9,389.9,-,0.00%
18-Feb-19,377.1,377,379.7,371.2,419.54K,-3.28%
19-Feb-19,379.5,376,382.4,368,644.50K,0.64%
20-Feb-19,385.7,379.5,389.4,377.6,205.39K,1.63%
24-Feb-19,385.6,386,386.7,380.1,120.50K,-0.03%
25-Feb-19,397.4,386.8,399.6,386.2,762.76K,3.06%
26-Feb-19,398.6,397.6,401.6,397,471.48K,0.30%
27-Feb-19,393.5,394.5,397,390.8,142.25K,-1.28%
3-Mar-19,390,393.5,393.5,386.3,92.14K,-0.89%
4-Mar-19,393.4,389,394.5,387,270.07K,0.87%
5-Mar-19,392,394,394,390,50.60K,-0.36%
6-Mar-19,390,391.6,391.6,388.3,71.64K,-0.51%
7-Mar-19,385.8,390,393.8,384,262.56K,-1.08%
10-Mar-19,385.3,387,387.2,385,62.32K,-0.13%
11-Mar-19,384.9,385.8,385.8,384,145.80K,-0.10%
12-Mar-19,392.9,384.3,395.2,384,299.04K,2.08%
13-Mar-19,385.5,391.7,393.9,385,265.31K,-1.88%
14-Mar-19,387.1,385,392.8,385,100.09K,0.42%
18-Mar-19,388.4,385.5,389.9,385.5,72.46K,0.34%
19-Mar-19,391.7,389,394.2,389,166.72K,0.85%
20-Mar-19,394.9,394,402,394,476.78K,0.82%
21-Mar-19,397.3,399,399,394,85.90K,0.61%
24-Mar-19,401.4,398,404.8,397.3,340.11K,1.03%
25-Mar-19,409.5,401.4,410.5,399.1,568.69K,2.02%
27-Mar-19,408.5,410.1,411.9,405,304.69K,-0.24%
28-Mar-19,407.4,410,410.9,405.5,209.15K,-0.27%
31-Mar-19,409.2,407,411,404.5,265.40K,0.44%
1-Apr-19,417,409.2,419.7,409,624.79K,1.91%
2-Apr-19,409.6,417,419,409,277.80K,-1.77%
3-Apr-19,399.4,407,407,397.3,430.49K,-2.49%
4-Apr-19,387.9,399,399,387.4,387.76K,-2.88%
