Date,Price,Open,High,Low,Vol.,Change %,moving average,EMA,EMA(12),EMA(26),MACD,K,D,R,trend
1-Jan-09,47.31,47.91,48.35,47.13,1.15M,-1.89%,47.31,47.31,47.31,47.31,0,0,0,0,0
4-Jan-09,47.79,47.44,48.12,47.14,1.30M,1.01%,48.05,47.37,47.37,47.37,0,54.09836066,27.04918033,45.90163934,1
5-Jan-09,47.58,48.2,48.5,47.48,1.39M,-0.44%,47.89333333,47.39625,47.39625,47.39625,0,32.84671533,28.98169199,67.15328467,0
6-Jan-09,47.13,47.89,47.89,46.99,979.31K,-0.95%,95.405,47.36296875,47.36296875,47.36296875,0,9.271523179,32.07219972,90.72847682,0
7-Jan-09,46.86,46.97,47.73,46.74,1.03M,-0.57%,47.534,47.30009766,47.30009766,47.30009766,0,6.818181818,16.31214011,93.18181818,0
11-Jan-09,46.72,47.89,47.89,46.59,867.09K,-0.30%,47.39833333,47.22758545,47.22758545,47.22758545,0,6.806282723,7.631995907,93.19371728,0
12-Jan-09,46.09,46.83,46.9,45.9,1.23M,-1.35%,47.21142857,47.08538727,47.08538727,47.08538727,0,7.307692308,6.977385616,92.69230769,0
13-Jan-09,46.47,46.05,46.97,46.05,736.77K,0.82%,47.11875,47.00846386,47.00846386,47.00846386,0,21.92307692,12.01235065,78.07692308,1
14-Jan-09,46.31,46.59,46.66,46.19,546.52K,-0.34%,47.02888889,46.92115588,46.92115588,46.92115588,0,15.76923077,15,84.23076923,0
15-Jan-09,45.86,46.28,46.67,45.75,772.52K,-0.97%,46.912,46.78851139,46.78851139,46.78851139,0,4,13.8974359,96,0
18-Jan-09,45.09,45.76,45.84,44.85,826.25K,-1.68%,46.74636364,46.57619747,46.57619747,46.57619747,0,6.575342466,8.781524412,93.42465753,0
19-Jan-09,44.48,44.83,45.14,44.39,677.88K,-1.35%,42.97615385,46.31417278,47.31,46.31417278,0.995827215,2.189781022,4.255041163,97.81021898,0
20-Jan-09,45.58,45.14,46.04,44.83,450.18K,2.47%,46.48230769,46.22240119,47.37,46.22240119,1.147598813,28.95377129,12.57296493,71.04622871,1
21-Jan-09,44.89,46.13,46.19,44.83,680.30K,-1.51%,46.36857143,46.05585104,47.39625,46.05585104,1.340398962,12.16545012,14.43633414,87.83454988,0
22-Jan-09,45,45.58,45.58,44.78,584.75K,0.25%,46.27733333,45.92386966,47.36296875,45.92386966,1.439099091,14.84184915,18.65369019,85.15815085,1
25-Jan-09,45.45,45.75,45.9,44.88,528.22K,1.00%,46.15333333,45.86463595,47.30009766,45.86463595,1.435461705,25.79075426,17.59935118,74.20924574,1
26-Jan-09,45.27,45.87,45.87,45.14,522.66K,-0.40%,45.98533333,45.79030646,47.22758545,45.79030646,1.437278992,21.41119221,20.68126521,78.58880779,0
27-Jan-09,44.86,45.35,45.35,44.69,651.68K,-0.91%,45.804,45.67401815,47.08538727,45.67401815,1.411369118,13.42857143,20.21017263,86.57142857,0
28-Jan-09,45.07,44.8,45.35,44.8,437.89K,0.47%,45.66666667,45.59851588,47.00846386,45.59851588,1.409947978,19.42857143,18.08944502,80.57142857,1
29-Jan-09,44.93,45.14,45.37,44.84,552.53K,-0.31%,45.538,45.5149514,46.92115588,45.5149514,1.406204481,15.42857143,16.0952381,84.57142857,0
1-Feb-09,44.91,45.37,45.37,44.83,479.00K,-0.04%,45.41733333,45.43933247,46.78851139,45.43933247,1.349178921,20.15503876,18.33739387,79.84496124,0
2-Feb-09,44.76,44.94,44.98,44.66,641.02K,-0.33%,45.32866667,45.35441591,46.57619747,45.35441591,1.221781556,14.34108527,16.64156515,85.65891473,0
3-Feb-09,44.4,44.98,44.98,44.37,776.64K,-0.80%,45.19066667,45.23511392,46.31417278,45.23511392,1.079058861,1.304347826,11.93349062,98.69565217,0
4-Feb-09,44.49,44.83,44.83,44.3,399.20K,0.20%,45.06933333,45.14197468,46.22240119,45.14197468,1.080426504,8.016877637,7.887436912,91.98312236,1
5-Feb-09,44.51,44.66,44.68,44.37,391.88K,0.04%,44.97933333,45.06297785,46.05585104,45.06297785,0.992873191,11.11111111,6.810778858,88.88888889,1
8-Feb-09,44.35,44.83,45.67,44.26,455.60K,-0.36%,44.93,44.97385562,45.92386966,47.31,-1.386130341,4.663212435,7.930400394,95.33678756,0
9-Feb-09,43.92,44.25,44.62,43.84,637.23K,-0.97%,44.89266667,44.84212366,45.86463595,47.37,-1.505364049,3.404255319,6.392859622,96.59574468,0
10-Feb-09,43.7,43.91,44.33,43.42,570.11K,-0.50%,44.76733333,44.69935821,45.79030646,47.39625,-1.605943543,10.10830325,6.058590334,89.89169675,0
11-Feb-09,42.36,44.83,44.83,42.08,660.17K,-3.07%,44.59866667,44.40693843,45.67401815,47.36296875,-1.6889506,7.329842932,6.947467167,92.67015707,0
12-Feb-09,43.96,42.92,44.06,42.92,920.62K,3.78%,44.52933333,44.35107113,45.59851588,47.30009766,-1.701581775,49.21465969,22.21760196,50.78534031,1
15-Feb-09,44.43,44.34,44.68,44.26,768.47K,1.07%,44.46133333,44.36093724,45.5149514,47.22758545,-1.712634053,62.00527704,39.51659322,37.99472296,1
16-Feb-09,44.38,44.37,44.68,44.25,629.85K,-0.11%,44.402,44.36332008,45.43933247,47.08538727,-1.646054796,64.06685237,58.4289297,35.93314763,0
17-Feb-09,44.34,44.6,44.6,44.22,945.33K,-0.09%,44.36733333,44.36040507,45.35441591,47.00846386,-1.654047947,62.95264624,63.00825855,37.04735376,0
18-Feb-09,45.14,44.43,45.47,44.37,811.21K,1.80%,44.372,44.45785444,45.23511392,46.92115588,-1.686041953,85.2367688,70.75208914,14.7632312,1
19-Feb-09,45.66,45.35,45.84,45.17,924.80K,1.15%,44.42066667,44.60812263,45.14197468,46.78851139,-1.646536709,95.21276596,81.13406033,4.787234043,1
22-Feb-09,45.45,45.89,45.98,45.29,744.94K,-0.46%,44.45666667,44.7133573,45.06297785,46.57619747,-1.513219621,86.41025641,88.95326372,13.58974359,0
23-Feb-09,45.42,45.17,45.57,44.91,822.06K,-0.07%,44.50066667,44.80168764,44.97385562,46.31417278,-1.340317168,85.64102564,89.088016,14.35897436,0
