Date,Price,Open,High,Low,Vol.,Change %
3-Jan-10,52.78,51.3,53.07,51.3,3.68M,2.66%
4-Jan-10,54.43,53.09,54.87,52.93,5.21M,3.13%
5-Jan-10,55.16,54.92,55.41,54.52,3.68M,1.34%
6-Jan-10,55.51,55.41,55.93,54.87,2.93M,0.63%
7-Jan-10,54.75,55.23,55.68,54.53,2.33M,-1.37%
10-Jan-10,55.17,54.7,55.32,54.62,2.37M,0.77%
11-Jan-10,55.28,55.38,55.39,54.93,1.99M,0.20%
12-Jan-10,55.81,55.41,56.39,55.41,4.81M,0.96%
13-Jan-10,55.24,55.95,56.29,55.11,3.74M,-1.02%
14-Jan-10,55.71,55.96,55.96,55.32,2.03M,0.85%
17-Jan-10,57.99,56.29,58.09,55.77,5.10M,4.09%
18-Jan-10,58.7,58.09,59.06,58.09,3.79M,1.22%
19-Jan-10,58.19,58.65,58.9,58.09,2.52M,-0.87%
20-Jan-10,57.97,58.63,58.63,57.85,2.22M,-0.38%
21-Jan-10,58.04,58.4,58.4,57.77,2.03M,0.12%
24-Jan-10,58.18,58.25,58.41,57.91,2.27M,0.24%
25-Jan-10,59.69,58.45,59.84,58.2,3.73M,2.60%
26-Jan-10,60.55,59.86,60.95,59.56,2.70M,1.44%
27-Jan-10,62.65,60.77,62.88,60.43,5.18M,3.47%
28-Jan-10,64.42,63.1,64.79,62.56,5.75M,2.83%
31-Jan-10,64.21,64.53,65.21,63.99,5.67M,-0.33%
1-Feb-10,63.95,64.17,64.33,63.72,3.27M,-0.40%
2-Feb-10,65.01,64.33,65.15,63.45,5.26M,1.66%
3-Feb-10,64.66,65.13,66.78,64.38,4.38M,-0.54%
4-Feb-10,65.13,64.53,65.78,64.53,2.32M,0.73%
7-Feb-10,65.27,65.24,65.78,65.08,2.06M,0.21%
8-Feb-10,65.7,65.58,65.85,65.15,2.43M,0.66%
9-Feb-10,66.97,65.96,67.11,65.8,3.79M,1.93%
10-Feb-10,66.67,66.94,67.57,66.55,1.97M,-0.45%
11-Feb-10,66.12,67.19,67.19,66.01,2.36M,-0.82%
14-Feb-10,66.53,65.97,66.62,65.54,2.96M,0.62%
15-Feb-10,65.92,66.31,66.85,65.78,2.41M,-0.92%
16-Feb-10,65.65,65.9,66.4,65.6,1.75M,-0.41%
17-Feb-10,65.34,65.69,65.99,65.15,1.37M,-0.47%
18-Feb-10,65.26,65.33,65.86,64.35,1.91M,-0.12%
22-Feb-10,64.46,65.26,65.64,64.33,3.10M,-1.23%
23-Feb-10,64.44,65.13,65.13,64.24,2.01M,-0.03%
24-Feb-10,63.82,64.35,64.44,63.63,2.60M,-0.96%
25-Feb-10,64.52,63.54,65.24,63.36,3.16M,1.10%
28-Feb-10,64.28,64.71,65.24,64.15,1.51M,-0.37%
1-Mar-10,63.53,64.17,64.35,63.45,1.49M,-1.17%
2-Mar-10,63.09,63.4,63.81,62.82,1.92M,-0.69%
3-Mar-10,63.83,63.45,64.33,63.19,997.46K,1.17%
4-Mar-10,63.92,64.33,64.33,63.81,954.71K,0.14%
7-Mar-10,63.73,63.65,64.26,63.65,811.05K,-0.30%
8-Mar-10,63.53,63.63,63.81,63.46,947.55K,-0.31%
9-Mar-10,63.2,63.47,63.63,63.1,925.90K,-0.52%
10-Mar-10,63.38,62.94,63.59,62.94,966.46K,0.28%
11-Mar-10,63.34,63.45,63.63,63.19,1.15M,-0.06%
14-Mar-10,62.87,63.44,63.44,62.85,1.32M,-0.74%
15-Mar-10,62.4,62.92,62.92,61.76,2.06M,-0.75%
16-Mar-10,63.49,62.54,63.63,62.54,1.34M,1.75%
18-Mar-10,63.64,63.79,63.88,63.47,1.22M,0.24%
21-Mar-10,63.82,63.52,63.99,63.52,1.13M,0.28%
22-Mar-10,64.09,63.53,64.26,63.53,1.42M,0.42%
23-Mar-10,64.23,64.26,66.12,63.97,5.78M,0.22%
24-Mar-10,65.64,65.05,65.87,64.98,2.10M,2.20%
25-Mar-10,65.11,65.87,65.94,64.92,1.21M,-0.81%
28-Mar-10,64.22,64.13,65.18,64.08,1.80M,-1.37%
29-Mar-10,64.06,64.35,64.53,63.81,1.28M,-0.25%
30-Mar-10,64.36,64.33,64.96,63.87,1.16M,0.47%
31-Mar-10,64,64.44,64.53,63.83,1.43M,-0.56%
1-Apr-10,63.9,63.51,64.37,63.51,599.18K,-0.16%
4-Apr-10,63.69,64.35,64.35,63.62,809.87K,-0.33%
5-Apr-10,62.93,63.81,64.13,62.83,2.08M,-1.19%
