"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2019","190.00","189.10","191.10","188.40","408.40K","0.58%"
"Dec 29, 2019","188.90","189.00","190.00","187.50","164.94K","0.32%"
"Dec 26, 2019","188.30","186.00","188.90","186.00","298.36K","1.29%"
"Dec 24, 2019","185.90","183.00","188.70","183.00","510.38K","2.14%"
"Dec 23, 2019","182.00","182.10","183.30","180.70","638.97K","-0.05%"
"Dec 22, 2019","182.10","183.00","183.80","181.60","173.83K","-0.49%"
"Dec 19, 2019","183.00","183.50","183.50","182.40","236.02K","0.33%"
"Dec 18, 2019","182.40","186.80","186.80","181.00","514.46K","-2.36%"
"Dec 17, 2019","186.80","190.40","190.40","185.90","379.86K","-1.89%"
"Dec 15, 2019","190.40","190.10","191.00","189.00","89.39K","0.21%"
"Dec 12, 2019","190.00","190.90","191.30","188.50","491.99K","-0.05%"
"Dec 11, 2019","190.10","190.00","191.00","187.70","334.70K","1.49%"
"Dec 10, 2019","187.30","191.20","193.60","186.00","661.68K","-1.99%"
"Dec 09, 2019","191.10","198.20","198.20","190.40","461.53K","-3.78%"
"Dec 08, 2019","198.60","200.20","201.00","198.20","224.68K","-0.60%"
"Dec 05, 2019","199.80","201.40","201.90","199.50","266.05K","-0.79%"
"Dec 04, 2019","201.40","200.40","203.70","200.30","221.15K","0.50%"
"Dec 03, 2019","200.40","206.30","206.30","198.50","392.04K","-2.20%"
"Dec 02, 2019","204.90","211.80","211.80","203.90","455.60K","-2.71%"
"Dec 01, 2019","210.60","210.00","211.90","208.40","178.33K","1.10%"
"Nov 28, 2019","208.30","213.70","213.90","207.60","490.25K","-1.65%"
"Nov 27, 2019","211.80","212.40","213.00","211.00","906.38K","-0.28%"
"Nov 26, 2019","212.40","214.00","214.00","212.00","390.38K","-0.61%"
"Nov 25, 2019","213.70","214.90","216.00","212.70","271.99K","-0.56%"
"Nov 24, 2019","214.90","218.00","218.90","214.40","228.84K","-1.38%"
"Nov 21, 2019","217.90","216.90","220.00","216.40","365.06K","1.63%"
"Nov 20, 2019","214.40","224.90","224.90","212.00","971.45K","-3.85%"
"Nov 18, 2019","222.99","223.36","224.67","222.43","305.03K","0.09%"
"Nov 17, 2019","222.80","221.96","223.36","221.31","100.57K","0.46%"
"Nov 14, 2019","221.78","227.10","227.10","220.09","528.05K","-2.18%"
"Nov 13, 2019","226.73","225.23","228.04","224.77","257.24K","0.75%"
"Nov 12, 2019","225.05","222.15","225.70","222.06","170.16K","1.35%"
"Nov 11, 2019","222.06","222.43","223.18","221.68","277.02K","-0.17%"
"Nov 07, 2019","222.43","222.15","222.80","221.50","317.31K","0.42%"
"Nov 06, 2019","221.50","221.21","222.43","220.37","368.51K","0.47%"
"Nov 05, 2019","220.47","220.84","221.40","220.00","348.05K","-0.17%"
"Nov 04, 2019","220.84","221.87","222.34","220.28","155.34K","-0.55%"
"Nov 03, 2019","222.06","220.19","222.90","219.16","149.18K","1.06%"
"Oct 31, 2019","219.72","222.43","222.43","219.44","176.90K","-1.01%"
"Oct 30, 2019","221.96","222.43","223.08","219.63","163.70K","0.38%"
"Oct 29, 2019","221.12","224.11","225.23","220.56","251.07K","-0.75%"
"Oct 28, 2019","222.80","225.33","225.33","222.52","305.46K","-0.30%"
"Oct 27, 2019","223.46","224.58","226.82","222.90","283.55K","-0.46%"
"Oct 24, 2019","224.49","224.30","224.95","223.08","217.40K","0.80%"
"Oct 23, 2019","222.71","222.62","224.86","221.96","230.46K","0.04%"
"Oct 22, 2019","222.62","221.50","224.30","218.69","242.25K","0.55%"
"Oct 21, 2019","221.40","225.05","225.05","219.07","367.58K","-1.62%"
"Oct 20, 2019","225.05","222.62","226.17","222.52","144.91K","1.09%"
"Oct 17, 2019","222.62","224.02","224.30","221.12","456.28K","-0.13%"
"Oct 16, 2019","222.90","226.17","227.10","222.24","326.52K","-0.75%"
"Oct 15, 2019","224.58","224.11","225.23","223.83","603.31K","0.42%"
"Oct 14, 2019","223.64","224.95","225.79","223.08","516.30K","-1.04%"
"Oct 13, 2019","225.98","222.15","227.10","222.15","382.33K","1.72%"
"Oct 10, 2019","222.15","224.86","224.86","221.50","299.56K","-1.21%"
"Oct 09, 2019","224.86","223.83","225.79","222.99","921.87K","1.05%"
"Oct 07, 2019","222.52","220.56","223.36","219.44","188.31K","0.98%"
"Oct 06, 2019","220.37","218.69","222.43","218.69","137.28K","0.47%"
"Oct 03, 2019","219.35","219.07","220.47","218.78","106.39K","0.13%"
"Oct 02, 2019","219.07","219.63","220.37","218.22","307.17K","-0.42%"
"Oct 01, 2019","220.00","220.75","221.03","219.16","72.49K","-0.29%"
"Sep 30, 2019","220.65","222.24","222.24","220.56","283.03K","-0.34%"
"Sep 29, 2019","221.40","219.63","222.43","218.88","86.78K","0.72%"
"Sep 26, 2019","219.81","220.37","220.56","219.16","213.42K","0.17%"
"Sep 25, 2019","219.44","222.34","222.34","217.48","246.35K","0.00%"
"Sep 24, 2019","219.44","221.21","221.40","218.04","475.77K","-0.76%"
"Sep 23, 2019","221.12","222.43","226.92","220.28","412.79K","-0.42%"
"Sep 22, 2019","222.06","214.95","223.83","213.18","394.57K","4.72%"
"Sep 19, 2019","212.06","214.02","218.60","211.21","674.76K","-0.83%"
"Sep 18, 2019","213.83","221.03","223.27","211.12","707.54K","-3.21%"
"Sep 17, 2019","220.93","226.54","226.54","219.63","554.79K","-2.27%"
"Sep 16, 2019","226.07","227.10","227.10","225.42","204.86K","-0.37%"
"Sep 15, 2019","226.92","228.04","228.04","226.17","134.40K","-0.45%"
"Sep 12, 2019","227.94","228.22","228.88","226.26","341.89K","-0.08%"
"Sep 11, 2019","228.13","230.84","230.84","227.38","422.72K","-1.02%"
