Date,Price,Open,High,Low,Vol.,Change %,moving average,EMA,EMA(12),EMA(26),MACD,K,D,R,trend,sentiment,return
1-Jan-18,282.06,282.15,283.18,280.47,187.51K,0.00%,282.06,282.06,282.06,282.06,0,0,0,0,0,0.5,0.070030349
2-Jan-18,284.3,282.06,285.05,282.06,387.57K,0.79%,283.68,282.34,282.34,282.34,0,83.62445415,41.81222707,16.37554585,1,0.5,0.007941573
3-Jan-18,287.38,284.3,287.85,284.11,412.72K,1.08%,284.9133333,282.97,282.97,282.97,0,93.63143631,59.08529682,6.368563686,1,0.5,0.010833626
4-Jan-18,285.33,287.48,288.5,284.11,329.64K,-0.71%,285.0175,283.265,283.265,283.265,0,60.52303861,79.25964302,39.47696139,0,0.5,-0.007133412
7-Jan-18,284.3,285.89,286.92,283.55,184.50K,-0.36%,284.874,283.394375,283.394375,283.394375,0,47.69613948,67.28353813,52.30386052,0,0.5,-0.003609855
8-Jan-18,283.27,284.95,285.05,282.24,386.19K,-0.36%,284.6066667,283.3788281,283.3788281,283.3788281,0,34.86924035,47.69613948,65.13075965,0,0.5,-0.003622934
9-Jan-18,284.02,283.36,284.11,282.52,400.50K,0.26%,284.5228571,283.4589746,283.4589746,283.4589746,0,44.20921544,42.25819842,55.79078456,1,0.5,0.002647651
10-Jan-18,285.61,284.95,287.29,284.11,273.16K,0.56%,284.65875,283.7278528,283.7278528,283.7278528,0,64.00996264,47.69613948,35.99003736,1,0.5,0.005598197
11-Jan-18,286.92,285.42,287.85,285.42,834.87K,0.46%,284.91,284.1268712,284.1268712,284.1268712,0,80.3237858,62.84765463,19.6762142,1,0.5,0.004586674
14-Jan-18,286.07,286.92,287.38,285.05,304.33K,-0.30%,285.026,284.3697623,284.3697623,284.3697623,0,69.7384807,71.35740971,30.2615193,0,0.5,-0.002962498
15-Jan-18,288.41,286.07,289.16,285.98,1.06M,0.82%,285.3336364,284.874792,284.874792,284.874792,0,91.3693901,80.47721887,8.630609896,1,0.5,0.008179816
16-Jan-18,290.09,287.85,290.65,287.76,746.83K,0.58%,285.73,285.526693,282.06,285.526693,-3.466693001,94.49901768,85.20229616,5.500982318,1,0.5,0.005825041
17-Jan-18,295.33,290.65,299.16,290.65,1.73M,1.81%,286.4684615,286.7521064,282.34,286.7521064,-4.412106376,79.50775816,88.45872198,20.49224184,1,0.5,0.01806336
18-Jan-18,302.15,294.39,302.8,294.39,1.50M,2.31%,287.5885714,288.6768431,282.97,288.6768431,-5.706843079,97.08911778,90.36529787,2.910882221,1,0.5,0.023092811
21-Jan-18,302.71,302.52,304.11,300.09,938.39K,0.19%,288.5966667,290.4309877,283.265,290.4309877,-7.165987694,94.07783418,90.22490337,5.922165821,1,0.5,0.001853384
22-Jan-18,311.96,303.74,313.08,302.71,2.00M,3.06%,290.59,293.1221142,283.394375,293.1221142,-9.727739232,96.38942618,95.85212604,3.610573823,1,0.5,0.030557299
23-Jan-18,311.4,313.08,313.08,306.54,1.45M,-0.18%,292.3966667,295.40685,283.3788281,295.40685,-12.02802183,94.55252918,95.00659651,5.447470817,0,0.5,-0.001795102
24-Jan-18,308.41,311.21,311.4,306.73,889.93K,-0.96%,293.7986667,297.0322437,283.4589746,297.0322437,-13.5732691,84.85732815,91.9330945,15.14267185,0,1,-0.009601798
25-Jan-18,307.94,308.5,308.5,303.74,698.73K,-0.15%,295.306,298.3957132,283.7278528,298.3957132,-14.66786046,83.33333333,87.58106355,16.66666667,0,0.5,-0.001523945
28-Jan-18,303.08,307.94,307.94,299.07,722.87K,-1.58%,296.558,298.9812491,284.1268712,298.9812491,-14.8543779,67.57457847,78.58841332,32.42542153,0,0.5,-0.015782295
29-Jan-18,308.41,303.08,308.88,300.93,682.92K,1.76%,298.234,300.159843,284.3697623,300.159843,-15.79008067,84.71858639,78.54216606,15.28141361,1,1,0.017586116
30-Jan-18,305.7,310.09,310.19,304.67,225.18K,-0.88%,299.6793333,300.8523626,284.874792,300.8523626,-15.97757058,74.52537107,75.60617864,25.47462893,0,0.5,-0.008787004
31-Jan-18,304.67,307.48,307.48,298.88,822.98K,-0.34%,300.95,301.3295673,285.526693,301.3295673,-15.80287426,69.99643239,76.41346328,30.00356761,0,0.5,-0.003369316
1-Feb-18,305.7,305.61,307.01,303.93,369.04K,0.34%,302.202,301.8758714,286.7521064,301.8758714,-15.12376498,73.67106671,72.73095673,26.32893329,1,0.5,0.003380707
4-Feb-18,304.3,306.26,306.35,303.93,404.57K,-0.46%,303.4173333,302.1788874,288.6768431,302.1788874,-13.50204436,67.60147601,70.42299171,32.39852399,0,0.5,-0.004579653
5-Feb-18,303.55,305.42,305.42,299.07,566.79K,-0.25%,304.4266667,302.3502765,290.4309877,282.06,8.370987694,62.36176935,67.87810403,37.63823065,0,0.5,-0.002464673
6-Feb-18,303.46,305.05,306.07,302.9,286.18K,-0.03%,305.318,302.4889919,293.1221142,282.34,10.78211423,57.11101204,62.3580858,42.88898796,0,0.5,-0.000296492
7-Feb-18,303.93,301.96,305.61,301.87,388.32K,0.15%,305.8913333,302.6691179,295.40685,282.97,12.43684995,51.04333868,56.83870669,48.95666132,1,0.5,0.001548804
8-Feb-18,305.61,303.74,306.17,303.74,501.20K,0.55%,306.122,303.0367282,297.0322437,283.265,13.76724371,47.3943662,51.84957231,52.6056338,1,0.5,0.005527589
11-Feb-18,308.41,306.07,308.78,305.7,505.65K,0.92%,306.502,303.7083872,298.3957132,283.394375,15.00133825,67.11267606,55.18346031,32.88732394,1,0.5,0.009162004
12-Feb-18,305.98,310.28,310.28,304.86,638.76K,-0.79%,306.1033333,303.9923388,298.9812491,283.3788281,15.60242096,50,54.83568075,50,0,0.5,-0.007879122
13-Feb-18,305.05,305.79,306.45,304.58,302.04K,-0.30%,305.68,304.1245464,300.159843,283.4589746,16.70086834,49.28115016,55.46460874,50.71884984,0,0.5,-0.003039414
14-Feb-18,303.74,305.61,305.61,303.36,369.30K,-0.43%,305.3686667,304.0764781,300.8523626,283.7278528,17.1245098,42.63157895,47.30424304,57.36842105,0,1,-0.004294378
15-Feb-18,302.71,304.21,304.21,302.52,373.43K,-0.34%,305.02,303.9056684,301.3295673,284.1268712,17.20269608,33.59649123,41.83640678,66.40350877,0,0.5,-0.003391058
18-Feb-18,302.43,302.52,302.8,300.93,229.72K,-0.09%,304.9766667,303.7212098,301.8758714,284.3697623,17.50610907,31.14035088,35.78947368,68.85964912,0,0.5,-0.000924978
19-Feb-18,300.75,302.06,303.64,300.47,243.33K,-0.56%,304.466,303.3498086,302.1788874,284.874792,17.30409543,16.40350877,27.04678363,83.59649123,0,0.5,-0.005555004
20-Feb-18,298.97,302.71,302.8,298.6,479.94K,-0.59%,304.0173333,302.8023325,302.3502765,285.526693,16.8235835,3.167808219,16.90388929,96.83219178,0,0.5,-0.005918537
22-Feb-18,297.01,302.62,302.62,296.26,480.52K,-0.66%,303.5066667,302.078291,302.4889919,286.7521064,15.73688557,5.349500713,8.306939235,94.65049929,0,0.5,-0.006555842
25-Feb-18,291.87,300,300,291.21,778.89K,-1.73%,302.5846667,300.8022546,302.6691179,288.6768431,13.99227487,3.460933403,3.992747445,96.5390666,0,0.5,-0.017305815
26-Feb-18,288.69,292.06,292.06,287.66,551.32K,-1.09%,301.544,299.2882228,303.0367282,290.4309877,12.60574051,4.553492485,4.4546422,95.44650752,0,0.5,-0.010895262
27-Feb-18,294.11,290.19,295.23,288.69,414.13K,1.88%,300.9146667,298.6409449,303.7083872,293.1221142,10.58627295,28.51458886,12.17633825,71.48541114,1,0.5,0.018774464
28-Feb-18,292.8,294.11,295.33,290.37,389.48K,-0.45%,300.204,297.9108268,303.9923388,295.40685,8.585488829,22.72325376,18.5971117,77.27674624,0,0.5,-0.004454116
1-Mar-18,295.42,294.39,297.57,292.34,263.67K,0.89%,299.6366667,297.5994735,304.1245464,297.0322437,7.092302725,34.30592396,28.51458886,65.69407604,1,0,0.008948087
4-Mar-18,296.64,295.42,299.53,295.33,226.64K,0.41%,299.0386667,297.4795393,304.0764781,298.3957132,5.680764885,39.69938108,32.24285293,60.30061892,1,0.5,0.004129714
5-Mar-18,295.51,296.82,297.66,293.46,125.96K,-0.38%,298.1786667,297.2333469,303.9056684,298.9812491,4.924419274,34.70380195,36.23636899,65.29619805,0,0.5,-0.003809331
6-Mar-18,296.54,297.2,297.2,294.21,251.90K,0.35%,297.5493333,297.1466785,303.7212098,300.159843,3.561366865,47.25918042,40.55412115,52.74081958,1,0.5,0.0034855
7-Mar-18,295.98,297.2,297.85,295.79,103.75K,-0.19%,296.9446667,297.0008437,303.3498086,300.8523626,2.497446007,46.35097493,42.7713191,53.64902507,0,0.5,-0.001888447
8-Mar-18,295.42,295.98,297.2,293.08,333.33K,-0.19%,296.39,296.8032382,302.8023325,301.3295673,1.472765256,46.88821752,46.83279096,53.11178248,0,0.5,-0.00189202
11-Mar-18,295.14,294.86,295.7,294.21,133.56K,-0.09%,295.8853333,296.5953335,302.078291,301.8758714,0.202419599,46.80851064,46.6825677,53.19148936,0,0.5,-0.000947803
12-Mar-18,293.08,296.07,296.07,292.34,195.99K,-0.70%,295.262,296.1559168,300.8022546,302.1788874,-1.376632851,33.91739675,42.53804164,66.08260325,0,0.5,-0.006979738
